PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-17123	chr11	115563920	115717919	+	1264.2	2.918	Intergenic	Intergenic	-12624	NM_001252394	67283	Mm.383426	NM_026071	ENSMUSG00000020744	Slc25a19	2900089E13Rik|DNC|MUP1|TPC	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	protein-coding
chr15-12089	chr15	73089832	73188181	+	1264.0	3.021	intron (NM_153178, intron 2 of 18)	intron (NM_153178, intron 2 of 18)	45941	NM_153178	239528	Mm.23095	NM_153178		Ago2	1110029L17Rik|2310051F07Rik|AI225898|AL022874|AW546247|ENSMUSG00000072493|Eif2c2|Gerp95|Gm10365|mKIAA4215	argonaute RISC catalytic subunit 2	protein-coding
chr12-35338	chr12	28766978	28908549	+	1261.2	2.831	intron (NM_201357, intron 4 of 8)	intron (NM_201357, intron 4 of 8)	85935	NM_201357	380752	Mm.273724	NM_201357	ENSMUSG00000036613	Tssc1	D12Ertd604e	tumor suppressing subtransferable candidate 1	protein-coding
chr17-41344	chr17	34086741	34206768	+	1260.8	2.943	intron (NM_010388, intron 1 of 5)	B3A|SINE|B2	1338	NM_010388	15000	Mm.195060	NM_010388		H2-DMb2	H-2Mb2|H2-Mb2	histocompatibility 2, class II, locus Mb2	protein-coding
chr8-40707	chr8	72106074	72222108	+	1258.8	3.159	intron (NM_023126, intron 1 of 7)	B2_Mm2|SINE|B2	2891	NM_023126	17274	Mm.162811	NM_023126		Rab8a	AA409338|Mel	RAB8A, member RAS oncogene family	protein-coding
chr11-70337	chr11	54683434	54828841	+	1258.6	2.736	intron (NM_178626, intron 2 of 5)	intron (NM_178626, intron 2 of 5)	31566	NM_178626	72729	Mm.29476	NM_178626	ENSMUSG00000052298	Cdc42se2	2810404F18Rik|AA408783|AA536669|SPEC2	CDC42 small effector 2	protein-coding
chr11-43942	chr11	115119746	115248196	+	1257.6	3.555	intron (NM_025400, intron 4 of 6)	intron (NM_025400, intron 4 of 6)	3345	NM_025400	66176	Mm.86823	NM_025400	ENSMUSG00000015542	Nat9	1110028N05Rik	N-acetyltransferase 9 (GCN5-related, putative)	protein-coding
chr19-14423	chr19	34162633	34313613	+	1256.7	3.880	intron (NM_029682, intron 8 of 10)	intron (NM_029682, intron 8 of 10)	17250	NM_007392	11475	Mm.213025	NM_007392		Acta2	0610041G09Rik|Actvs|SMalphaA|a-SMA|alphaSMA	actin, alpha 2, smooth muscle, aorta	protein-coding
chr2-54831	chr2	158648666	158751162	+	1255.8	3.968	intron (NM_153089, intron 2 of 10)	intron (NM_153089, intron 2 of 10)	32779	NM_001159662	228852	Mm.150540	NM_153089	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory (inhibitor) subunit 16B	protein-coding
chr9-11408	chr9	107521303	107651493	+	1252.7	3.959	exon (NM_178020, exon 3 of 4)	exon (NM_178020, exon 3 of 4)	-1320	NM_025903	15983	Mm.215335	NM_025903	ENSMUSG00000010048	Ifrd2	1810034A24Rik|AA470234|AI838527|SKMc15	interferon-related developmental regulator 2	protein-coding
chr1-62460	chr1	86391326	86529852	+	1250.1	4.657	Intergenic	URR1B|DNA|hAT-Charlie	34260	NM_027966	71863	Mm.179627	NM_027966	ENSMUSG00000036574	1700019O17Rik	-	RIKEN cDNA 1700019O17 gene	protein-coding
chr6-41463	chr6	65508038	65672947	+	1245.7	5.255	promoter-TSS (NM_001001495)	promoter-TSS (NM_001001495)	94	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
chr1-59431	chr1	36224414	36347815	+	1241.2	5.689	Intergenic	Intergenic	-12689	NM_153408	214854	Mm.389110	NM_153408	ENSMUSG00000047180	Neurl3	2010300P06Rik|Lincr	neuralized homolog 3 homolog (Drosophila)	protein-coding
chr13-8001	chr13	20089975	20252693	+	1240.4	6.239	intron (NM_080288, intron 1 of 21)	intron (NM_080288, intron 1 of 21)	80827	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
chr3-33346	chr3	131085131	131235917	+	1238.4	6.736	intron (NM_001276402, intron 3 of 9)	intron (NM_001276402, intron 3 of 9)	47733	NM_001276403	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
chr13-33676	chr13	13514938	13616356	+	1234.6	6.412	Intergenic	Intergenic	-24762	NM_010748	17101	Mm.342337	NM_010748	ENSMUSG00000019726	Lyst	D13Sfk13|beige|bg	lysosomal trafficking regulator	protein-coding
chr9-22457	chr9	66544989	66690217	+	1230.5	6.246	Intergenic	MIRb|SINE|MIR	-24623	NM_144937	235441	Mm.38976	NM_144937	ENSMUSG00000032376	Usp3	AA409661|BC017156	ubiquitin specific peptidase 3	protein-coding
chr13-34918	chr13	37518866	37698964	+	1227.5	5.662	Intergenic	Charlie2b|DNA|hAT-Charlie	-217123	NM_026830	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
chr8-11508	chr8	117224752	117386780	+	1223.7	7.873	intron (NM_001163262, intron 1 of 20)	intron (NM_001163262, intron 1 of 20)	-43404	NM_028941	74440	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding
chr17-35430	chr17	34870447	35065279	+	1218.0	8.316	Intergenic	ID|SINE|ID	4293	NM_010479	193740	Mm.6388	NM_010479	ENSMUSG00000091971	Hspa1a	Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1	heat shock protein 1A	protein-coding
chr6-39198	chr6	143051538	143198611	+	1217.1	8.028	Intergenic	Intergenic	-24922	NM_029081	74741	Mm.130260	NM_029081	ENSMUSG00000030279	C2cd5	5730419I09Rik|C030008B15Rik|CDP138	C2 calcium-dependent domain containing 5	protein-coding
chr1-29838	chr1	13214664	13390211	+	1213.5	7.687	intron (NM_001077695, intron 1 of 21)	B3|SINE|B2	71646	NM_008678	17978	Mm.2537	NM_008678	ENSMUSG00000005886	Ncoa2	9530095N19|D1Ertd433e|GRIP-1|Grip1|KAT13C|SRC-2|TIF-2|TIF2|bHLHe75	nuclear receptor coactivator 2	protein-coding
chr4-13407	chr4	129731805	129840947	+	1212.1	7.204	Intergenic	Intergenic	-34103	NM_008974	19244	Mm.193688	NM_008974	ENSMUSG00000028788	Ptp4a2	Prl-2	protein tyrosine phosphatase 4a2	protein-coding
chr14-35632	chr14	74797276	74954262	+	1199.9	6.808	intron (NM_001252132, intron 1 of 18)	intron (NM_001252132, intron 1 of 18)	72108	NM_001033439	380916	Mm.288868	NM_001033439	ENSMUSG00000068015	Lrch1	4832412D13Rik|AI552548|AW215503|Chdc1|mKIAA1016	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
chr7-26027	chr7	75760492	75893354	+	1195.6	6.960	Intergenic	Intergenic	-21415	NM_001122780	207952	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding
chr4-25705	chr4	6838384	6991632	+	1193.3	7.125	intron (NM_145711, intron 1 of 8)	intron (NM_145711, intron 1 of 8)	75715	NM_145711	252838	Mm.435828	NM_145711	ENSMUSG00000041272	Tox	1700007F02Rik	thymocyte selection-associated high mobility group box	protein-coding
chr15-42773	chr15	25805786	25943722	+	1191.0	6.460	intron (NM_001034851, intron 1 of 8)	intron (NM_001034851, intron 1 of 8)	31456	NM_001034851	66270	Mm.25311	NM_025459	ENSMUSG00000022270	Fam134b	1810015C04Rik|AU015349	family with sequence similarity 134, member B	protein-coding
chr11-69846	chr11	51820740	51974378	+	1190.4	6.323	Intergenic	Intergenic	-40078	NM_199299	76901	Mm.259996	NM_199299	ENSMUSG00000020387	Jade2	1200017K05Rik|AI480685|Phf15|mKIAA0239	jade family PHD finger 2	protein-coding
chr8-21280	chr8	119770114	119867745	+	1188.7	4.101	intron (NM_028071, intron 3 of 3)	intron (NM_028071, intron 3 of 3)	21650	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding
chr12-8007	chr12	112937321	113075644	+	1182.2	3.641	Intergenic	MT2A|LTR|ERVL	-5861	NM_028193	72308	Mm.196721	NM_028193	ENSMUSG00000011158	Brf1	2510002F24Rik|GTF3B|TAF3C|TAFIII90|TFIIIB90|mTFIIIB90	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	protein-coding
chr6-45166	chr6	140595052	140724683	+	1180.4	3.461	intron (NM_009637, intron 8 of 8)	(TTTC)n|Simple_repeat|Simple_repeat	35569	NM_009637	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding
chr13-30418	chr13	45831196	45966276	+	1180.3	3.090	intron (NM_001199305, intron 2 of 7)	intron (NM_001199305, intron 2 of 7)	66255	NM_001199305	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding
chr1-31415	chr1	91041452	91113980	+	1179.5	3.228	intron (NM_008515, intron 4 of 22)	intron (NM_008515, intron 4 of 22)	24272	NM_008515	16978	Mm.45039	NM_008515	ENSMUSG00000026305	Lrrfip1	AU024550|Fliiap1	leucine rich repeat (in FLII) interacting protein 1	protein-coding
chr16-10662	chr16	4623632	4791026	+	1178.8	3.011	3' UTR (NM_023646, exon 12 of 12)	3' UTR (NM_023646, exon 12 of 12)	12027	NM_001290763	67824	Mm.28451	NM_026393	ENSMUSG00000063445	Nmral1	1110025F24Rik|AI256624	NmrA-like family domain containing 1	protein-coding
chr11-72931	chr11	79591422	79680135	+	1176.8	2.122	intron (NM_175543, intron 3 of 14)	B3|SINE|B2	-12615	NR_003283	790912	Mm.447313	NR_003283	ENSMUSG00000087434	Rab11fip4os1	Gm11202|OTTMUSG00000000185	RAB11 family interacting protein 4 (class II), opposite strand 1	ncRNA
chr9-31806	chr9	40317616	40469728	+	1175.5	2.114	intron (NM_172768, intron 2 of 19)	intron (NM_172768, intron 2 of 19)	60200	NR_040728	73558	Mm.398307	NR_040728		1700110K17Rik	-	RIKEN cDNA 1700110K17 gene	ncRNA
chr4-47912	chr4	63817838	63948105	+	1175.1	2.283	Intergenic	Intergenic	-21687	NM_009403	21949	Mm.4664	NM_009403		Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding
chr13-37527	chr13	91356986	91542854	+	1173.8	2.231	Intergenic	Intergenic	-11177	NM_024272	66970	Mm.343095	NM_024186	ENSMUSG00000003992	Ssbp2	1500004K09Rik|2310079I02Rik|9330163K02Rik|A830008M03Rik|AU067692|AW558684|Hspc116|SSDP2	single-stranded DNA binding protein 2	protein-coding
chr16-12282	chr16	11397352	11529620	+	1173.2	2.194	intron (NM_001290148, intron 6 of 13)	B3|SINE|B2	57838	NM_001290148	74478	Mm.325831	NM_028964	ENSMUSG00000071669	Snx29	4933437K13Rik|ENSMUSG00000079738|Gm11170|Gm1737|Gm930|Rundc2a	sorting nexin 29	protein-coding
chr3-41697	chr3	69107204	69235498	+	1171.3	3.060	Intergenic	Intergenic	40118	NM_001243000	381452	Mm.331067	NM_001243000	ENSMUSG00000094763	Gm1647	-	predicted gene 1647	protein-coding
chr11-70563	chr11	57607472	57734277	+	1169.6	2.840	intron (NM_134189, intron 1 of 11)	intron (NM_134189, intron 1 of 11)	25432	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
chr11-4671	chr11	83058105	83125996	+	1168.5	3.001	Intergenic	L1Md_F2|LINE|L1	-24795	NM_011407	20555	Mm.10948	NM_011407	ENSMUSG00000078763	Slfn1	AV316259	schlafen 1	protein-coding
chr9-35479	chr9	14171635	14314771	+	1168.1	2.823	Intergenic	Intergenic	-33098	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
chr13-32576	chr13	101654924	101768951	+	1167.5	2.735	intron (NM_001077495, intron 2 of 15)	AT_rich|Low_complexity|Low_complexity	-19307	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
chr18-14074	chr18	56366336	56476525	+	1161.1	2.463	Intergenic	Intergenic	-10702	NM_026240	107022	Mm.24356	NM_026240	ENSMUSG00000001700	Gramd3	9030613F08Rik|9130427A09Rik|AW061306|NS3TP2	GRAM domain containing 3	protein-coding
chr15-34252	chr15	76229666	76351705	+	1160.9	2.241	intron (NM_028852, intron 4 of 4)	ORR1A3|LTR|ERVL-MaLR	-3749	NM_001195537	100503915	Mm.393455	NM_001195537	ENSMUSG00000071724	Smpd5	ENSMUSG00000071724|Gm10345|MA-nSMase	sphingomyelin phosphodiesterase 5	protein-coding
chr12-1309	chr12	76837453	76963011	+	1159.6	2.762	intron (NM_145927, intron 7 of 11)	intron (NM_145927, intron 7 of 11)	62016	NM_008558	17187	Mm.268548	NM_008558	ENSMUSG00000059436	Max	AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding
chr4-52259	chr4	149645715	149737134	+	1159.2	3.431	intron (NM_001029837, intron 1 of 23)	intron (NM_001029837, intron 1 of 23)	7284	NM_008840	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
chr14-26975	chr14	79473195	79562852	+	1159.1	3.554	intron (NM_001286411, intron 1 of 8)	intron (NM_001286411, intron 1 of 8)	2349	NM_001286412	13709	Mm.20938	NM_007920	ENSMUSG00000036461	Elf1	Elf-1|Sts1|mElf-1|p70	E74-like factor 1	protein-coding
chr18-14590	chr18	70520969	70645087	+	1158.6	2.415	intron (NM_010773, intron 2 of 6)	intron (NM_010773, intron 2 of 6)	14736	NM_010773	17191	Mm.322	NM_010773	ENSMUSG00000024513	Mbd2	MBD2a	methyl-CpG binding domain protein 2	protein-coding
chr12-5177	chr12	17372614	17554545	+	1158.0	2.765	Intergenic	MMERVK9E_I-int|LTR|ERVK	-81294	NM_013614	18263	Mm.34102	NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
chr2-57197	chr2	22740977	22821403	+	1154.3	3.047	intron (NM_019456, intron 1 of 13)	intron (NM_019456, intron 1 of 13)	6863	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding
chr19-7776	chr19	8695622	8844754	+	1150.4	3.147	promoter-TSS (NM_025791)	promoter-TSS (NM_025791)	-808	NM_025791	66836	Mm.440071	NM_025791	ENSMUSG00000075043	Tmem223	0610006I08Rik	transmembrane protein 223	protein-coding
chr14-35826	chr14	75398636	75570838	+	1149.2	3.449	intron (NM_001128093, intron 1 of 1)	intron (NM_001128093, intron 1 of 1)	28755	NM_001128093	380918	Mm.484360	NM_001128093	ENSMUSG00000091722	Siah3	Gm912	seven in absentia homolog 3 (Drosophila)	protein-coding
chr8-2913	chr8	83714845	83799933	+	1148.7	3.698	Intergenic	Intergenic	-16078	NM_001163031	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Cd97	AA409984|TM7LN1	CD97 antigen	protein-coding
chr4-39371	chr4	8887991	9032251	+	1146.6	4.370	Intergenic	(TG)n|Simple_repeat|Simple_repeat	269715	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
chr10-53689	chr10	81283186	81438110	+	1143.9	3.755	intron (NM_028657, intron 2 of 9)	PB1|SINE|Alu	3078	NM_028657	73822	Mm.182281	NM_028657	ENSMUSG00000034854	Mfsd12	C19orf28|F630110N24Rik|Wdt1	major facilitator superfamily domain containing 12	protein-coding
chr2-44507	chr2	34893913	35006217	+	1143.0	3.405	intron (NM_009421, intron 6 of 10)	intron (NM_009421, intron 6 of 10)	11707	NM_009421	22029	Mm.239514	NM_009421	ENSMUSG00000026875	Traf1	4732496E14Rik	TNF receptor-associated factor 1	protein-coding
chr11-42067	chr11	79002435	79153280	+	1141.3	3.341	intron (NM_013571, intron 1 of 17)	ID_B1|SINE|B4	54260	NR_045873	790910	Mm.440410	NR_045873		Gm11201	ENSMUSG00000072637|OTTMUSG00000000169	predicted gene 11201	ncRNA
chr6-27511	chr6	72918860	73018976	+	1139.6	3.528	Intergenic	B2_Mm2|SINE|B2	-10170	NM_001190327	19240	Mm.3532	NM_025284	ENSMUSG00000079523	Tmsb10	Ptmb10|Tb10	thymosin, beta 10	protein-coding
chr6-45501	chr6	145074614	145212464	+	1135.5	5.648	intron (NM_001281980, intron 3 of 18)	intron (NM_001281980, intron 3 of 18)	21800	NM_008511	16970	Mm.843	NM_008511	ENSMUSG00000030263	Lrmp	D6Int3|D6Int4|D6Int5|D6Int7|D6Int8|Jaw1	lymphoid-restricted membrane protein	protein-coding
chr8-17621	chr8	70506056	70640165	+	1135.0	5.175	intron (NM_007924, intron 2 of 11)	intron (NM_007924, intron 2 of 11)	-21371	NM_023627	71780	Mm.29357	NM_023627	ENSMUSG00000019139	Isyna1	1300017C10Rik|AU018670	myo-inositol 1-phosphate synthase A1	protein-coding
chr11-53996	chr11	69033751	69134395	+	1132.9	5.083	Intergenic	IAPLTR2_Mm|LTR|ERVK	-4455	NM_009497	22318	Mm.28643	NM_009497	ENSMUSG00000020894	Vamp2	Syb-2|Syb2|sybII	vesicle-associated membrane protein 2	protein-coding
chr7-53244	chr7	126695094	126814552	+	1132.0	5.273	Intergenic	B1_Mur2|SINE|Alu	-4803	NM_011952	26417	Mm.8385	NM_011952	ENSMUSG00000063065	Mapk3	Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk	mitogen-activated protein kinase 3	protein-coding
chr1-51673	chr1	39886063	40009234	+	1130.5	5.394	intron (NM_008696, intron 2 of 30)	intron (NM_008696, intron 2 of 30)	46735	NM_008696	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
chr4-44125	chr4	139167101	139311754	+	1117.6	4.688	intron (NM_009798, intron 2 of 8)	Charlie1|DNA|hAT-Charlie	6044	NM_001271406	12345	Mm.2945	NM_009798	ENSMUSG00000028745	Capzb	1700120C01Rik|AI325129|CPB1|CPB2|CPbeat2|CPbeta1|CPbeta2|Cappb1	capping protein (actin filament) muscle Z-line, beta	protein-coding
chr5-40094	chr5	124411813	124560514	+	1117.3	4.659	intron (NM_029532, intron 1 of 1)	intron (NM_029532, intron 1 of 1)	3008	NM_029532	76167	Mm.156035	NM_029532	ENSMUSG00000029402	Snrnp35	6330548G22Rik	small nuclear ribonucleoprotein 35 (U11/U12)	protein-coding
chr7-42545	chr7	45051655	45154593	+	1116.9	4.273	5' UTR (NM_010189, exon 2 of 7)	5' UTR (NM_010189, exon 2 of 7)	698	NM_010189	14132	Mm.3303	NM_010189	ENSMUSG00000003420	Fcgrt	FcRn	Fc receptor, IgG, alpha chain transporter	protein-coding
chr14-13822	chr14	54350699	54500477	+	1114.2	4.258	Intergenic	Intergenic	-1321	NM_026851	68836	Mm.248163	NM_026851	ENSMUSG00000010406	Mrpl52	1110047B07Rik	mitochondrial ribosomal protein L52	protein-coding
chr17-29583	chr17	28407306	28532418	+	1111.8	4.018	intron (NM_010220, intron 1 of 10)	intron (NM_010220, intron 1 of 10)	16287	NM_010220	14229	Mm.276405	NM_010220	ENSMUSG00000024222	Fkbp5	D17Ertd592e|Dit1|FKBP-5|FKBP51	FK506 binding protein 5	protein-coding
chr4-43540	chr4	133649809	133757712	+	1111.4	2.236	intron (NM_001080819, intron 4 of 19)	B1_Mus1|SINE|Alu	13348	NR_106086	102465707		NR_106086		Mir7227	mmu-mir-7227	microRNA mir-7227	ncRNA
chr11-44647	chr11	3247952	3372611	+	1111.0	2.387	intron (NR_045708, intron 1 of 5)	B4|SINE|B4	1281	NR_045708	100302648	Mm.458664	NR_045708	ENSMUSG00000084941	Gm11944	OTTMUSG00000005017	predicted gene 11944	ncRNA
chr2-62324	chr2	131985389	132080415	+	1110.9	2.510	Intergenic	Charlie5|DNA|hAT-Charlie	-2914	NM_175445	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding
chr17-17075	chr17	26465172	26577073	+	1110.1	2.506	Intergenic	B1_Mur4|SINE|Alu	-12650	NM_013642	19252	Mm.239041	NM_013642	ENSMUSG00000024190	Dusp1	3CH134|MKP1|Ptpn16|U19515|erp|mkp-1	dual specificity phosphatase 1	protein-coding
chr12-34844	chr12	17689509	17795297	+	1109.8	2.291	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	51589	NM_016677	53602	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding
chr15-17415	chr15	66437279	66542313	+	1106.1	2.648	intron (NM_019457, intron 1 of 11)	intron (NM_019457, intron 1 of 11)	11114	NM_019457	54562	Mm.244890	NM_019457	ENSMUSG00000022375	Lrrc6	LRTP	leucine rich repeat containing 6 (testis)	protein-coding
chr2-66807	chr2	25448896	25559068	+	1105.0	2.660	intron (NM_013908, intron 6 of 8)	intron (NM_013908, intron 6 of 8)	-2263	NM_001271777	69379	Mm.24596	NM_027062	ENSMUSG00000015083	C8g	-	complement component 8, gamma polypeptide	protein-coding
chr9-40526	chr9	123923093	123997612	+	1104.0	2.633	Intergenic	L1MB7|LINE|L1	8340	NM_009912	12768	Mm.274927	NM_009912	ENSMUSG00000025804	Ccr1	Cmkbr1|Mip-1a-R	chemokine (C-C motif) receptor 1	protein-coding
chr11-74160	chr11	95324622	95426124	+	1101.3	2.813	intron (NM_172543, intron 4 of 7)	intron (NM_172543, intron 4 of 7)	-9549	NM_016752	110172	Mm.4593	NM_016752		Slc35b1	Ugalt2	solute carrier family 35, member B1	protein-coding
chr11-47126	chr11	68407324	68503597	+	1100.0	3.099	intron (NM_177320, intron 1 of 18)	L1MC|LINE|L1	23335	NM_177320	320207	Mm.244960	NM_177320	ENSMUSG00000020901	Pik3r5	AV230647|F730038I15Rik	phosphoinositide-3-kinase, regulatory subunit 5, p101	protein-coding
chr7-49141	chr7	45680838	45814990	+	1097.8	3.125	intron (NM_017465, intron 1 of 6)	IMPB_01|Satellite|Satellite	11641	NM_017465	54200	Mm.271634	NM_017465	ENSMUSG00000003271	Sult2b1	AI326997|BB173635|ST2B1|SULT2B	sulfotransferase family, cytosolic, 2B, member 1	protein-coding
chr8-17229	chr8	25557211	25662080	+	1097.3	2.961	intron (NM_001001735, intron 1 of 9)	(TTTA)n|Simple_repeat|Simple_repeat	7339	NM_001001735	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Whsc1l1	6720429E03|A530023P05|AI528490|NSD3|WHISTLE	Wolf-Hirschhorn syndrome candidate 1-like 1 (human)	protein-coding
chr5-12768	chr5	142366698	142465832	+	1097.3	3.289	intron (NM_199068, intron 1 of 8)	intron (NM_199068, intron 1 of 8)	14768	NM_199068	17425	Mm.24214	NM_010812	ENSMUSG00000056493	Foxk1	A630048H08Rik|AI463295|ENSMUSG00000075577|Gm10868|Mnf	forkhead box K1	protein-coding
chr1-63897	chr1	125388115	125526605	+	1095.6	3.248	Intergenic	B4A|SINE|B4	-21633	NM_001205386	74117	Mm.183102	NM_023735	ENSMUSG00000026341	Actr3	1200003A09Rik|Arp3	ARP3 actin-related protein 3	protein-coding
chr5-54606	chr5	124150002	124277302	+	1093.9	3.072	intron (NM_011256, intron 2 of 24)	intron (NM_011256, intron 2 of 24)	-16073	NR_045369	75927	Mm.410803	NR_045369	ENSMUSG00000090220	Pitpnm2os1	4930568K20Rik	phosphatidylinositol transfer protein, membrane-associated 2, opposite strand 1	ncRNA
chr12-16550	chr12	108613100	108686953	+	1090.0	2.803	intron (NM_007965, intron 2 of 12)	MLT1A1|LTR|ERVL-MaLR	14273	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding
chr3-7958	chr3	135565298	135699830	+	1089.8	2.935	intron (NM_008689, intron 6 of 24)	intron (NM_008689, intron 6 of 24)	58983	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding
chr6-27824	chr6	87467491	87556862	+	1087.0	3.207	intron (NM_001037727, intron 1 of 10)	GA-rich|Low_complexity|Low_complexity	-15849	NR_104483	232201	Mm.119564	NM_175476		Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
chr16-6016	chr16	91512365	91649540	+	1084.6	3.283	intron (NM_030018, intron 4 of 6)	intron (NM_030018, intron 4 of 6)	16728	NM_030018	77975	Mm.290341	NM_030018	ENSMUSG00000022964	Tmem50b	AU015466|AU019872|B230114J08Rik	transmembrane protein 50B	protein-coding
chr2-58971	chr2	43724340	43814053	+	1084.2	3.289	intron (NM_153820, intron 1 of 13)	intron (NM_153820, intron 1 of 13)	20369	NM_001025377	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
chr11-27973	chr11	45780847	45898154	+	1083.4	2.613	intron (NR_045876, intron 3 of 3)	L1M4|LINE|L1	-12464	NM_001045520	216705	Mm.169673	NM_001045520	ENSMUSG00000006169	Clint1	AI642036|AW537616|C530049I24Rik|Enth|Epn4|F630206G17Rik|mKIAA0171	clathrin interactor 1	protein-coding
chr10-24458	chr10	128687408	128829455	+	1082.2	2.910	intron (NM_001253704, intron 2 of 3)	intron (NM_001253704, intron 2 of 3)	9976	NM_001170869	78428	Mm.27358	NM_030100	ENSMUSG00000064030	Wibg	A030010B05Rik|Pym	within bgcn homolog (Drosophila)	protein-coding
