PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-61713	chr10	118757980	118928540	+	1464.9	4.079	Intergenic	L1Md_F3|LINE|L1	25643	NM_001014390	69181	Mm.45565	NM_001014390	ENSMUSG00000028630	Dyrk2	1810038L18Rik	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	protein-coding
chr10-63708	chr10	21821614	21999472	+	1462.4	4.953	intron (NM_001161845, intron 1 of 13)	intron (NM_001161845, intron 1 of 13)	28359	NM_001161845	20393	Mm.28405	NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
chr17-59332	chr17	83897095	84043605	+	1461.3	4.673	Intergenic	Intergenic	-108310	NR_045458	74473	Mm.399575	NR_045458		4933433H22Rik	-	RIKEN cDNA 4933433H22 gene	ncRNA
chr19-21796	chr19	5786785	5894452	+	1456.9	4.841	Intergenic	Intergenic	4860	NR_003513	66961	Mm.281895	NR_003513		Neat1	2310043N10Rik|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
chr13-28704	chr13	13516734	13624589	+	1449.3	4.970	Intergenic	AT_rich|Low_complexity|Low_complexity	-19748	NM_010748	17101	Mm.342337	NM_010748	ENSMUSG00000019726	Lyst	D13Sfk13|beige|bg	lysosomal trafficking regulator	protein-coding
chr7-29771	chr7	101041744	101215310	+	1448.8	4.861	intron (NM_001146010, intron 2 of 19)	intron (NM_001146010, intron 2 of 19)	19752	NM_001146010	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
chr12-61893	chr12	84163600	84263035	+	1441.4	4.781	intron (NM_001163501, intron 1 of 12)	intron (NM_001163501, intron 1 of 12)	5564	NM_001163501	238317	Mm.31256	NM_001163501	ENSMUSG00000042507	Elmsan1	9430029N19Rik|C130039O16Rik|Gm260	ELM2 and Myb/SANT-like domain containing 1	protein-coding
chr16-29821	chr16	95701686	95871756	+	1439.8	4.712	Intergenic	L1Md_T|LINE|L1	84314	NM_011809	23872	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding
chr16-35363	chr16	43560748	43736788	+	1437.8	4.310	TTS (NM_001146325)	TTS (NM_001146325)	8113	NR_030576	100124467		NR_030576	miRBase:MI0005517	Mir568	Mirn568|mmu-mir-568	microRNA 568	ncRNA
chr18-26113	chr18	56373983	56477532	+	1435.4	3.140	Intergenic	ORR1C1|LTR|ERVL-MaLR	-6375	NM_026240	107022	Mm.24356	NM_026240	ENSMUSG00000001700	Gramd3	9030613F08Rik|9130427A09Rik|AW061306|NS3TP2	GRAM domain containing 3	protein-coding
chr10-58543	chr10	60308753	60404740	+	1434.0	3.083	intron (NM_001159572, intron 1 of 6)	intron (NM_001159572, intron 1 of 6)	9895	NM_001159572	74048	Mm.273584	NM_028732	ENSMUSG00000020101	4632428N05Rik	Dies1|PD-1H|VISTA	RIKEN cDNA 4632428N05 gene	protein-coding
chr1-52697	chr1	82787530	82928119	+	1432.0	2.395	intron (NM_010472, intron 1 of 12)	intron (NM_010472, intron 1 of 12)	18341	NM_010472	15463	Mm.392569	NM_010472	ENSMUSG00000026159	Agfg1	AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip	ArfGAP with FG repeats 1	protein-coding
chr3-64507	chr3	131085070	131215088	+	1431.3	5.319	intron (NM_001276402, intron 3 of 9)	RSINE1|SINE|B4	37288	NM_001276403	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
chr19-28363	chr19	53789535	53919354	+	1429.5	5.051	intron (NM_001170847, intron 12 of 13)	intron (NM_001170847, intron 12 of 13)	-37787	NM_011050	18569	Mm.1605	NM_011050	ENSMUSG00000024975	Pdcd4	D19Ucla1|Ma3|Tis	programmed cell death 4	protein-coding
chr2-102975	chr2	158647207	158751605	+	1429.4	4.730	intron (NM_153089, intron 2 of 10)	intron (NM_153089, intron 2 of 10)	32271	NM_001159662	228852	Mm.150540	NM_153089	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory (inhibitor) subunit 16B	protein-coding
chr3-46139	chr3	142490834	142629881	+	1429.2	5.120	promoter-TSS (NM_001289493)	promoter-TSS (NM_001289493)	-139	NM_001289493	55932	Mm.439718	NM_018734	ENSMUSG00000028268	Gbp3	AW228655|Gbp4	guanylate binding protein 3	protein-coding
chr6-51687	chr6	119980630	120159676	+	1426.2	4.913	Intergenic	RMER13B|LTR|ERVK	-23227	NM_016718	29862	Mm.103668	NM_016718	ENSMUSG00000041377	Ninj2	-	ninjurin 2	protein-coding
chr10-47186	chr10	53927876	54102013	+	1405.9	5.637	intron (NM_008548, intron 4 of 12)	intron (NM_008548, intron 4 of 12)	60852	NM_008548	17155	Mm.117294	NM_008548	ENSMUSG00000003746	Man1a	Man1a1|PCR1	mannosidase 1, alpha	protein-coding
chr13-38666	chr13	101634851	101769024	+	1405.6	5.608	intron (NM_001077495, intron 5 of 15)	intron (NM_001077495, intron 5 of 15)	-9307	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
chr19-27178	chr19	29100673	29274956	+	1405.3	6.289	Intergenic	Intergenic	52535	NR_029778	724062		NR_029778		Mir101b	Mirn101b|mir-101b	microRNA 101b	ncRNA
chr5-75631	chr5	140178183	140332306	+	1401.4	7.128	intron (NM_010752, intron 10 of 17)	intron (NM_010752, intron 10 of 17)	66308	NM_010752	17120	Mm.27250	NM_010752	ENSMUSG00000029554	Mad1l1	AI173502|AW550425|Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding
chr11-45446	chr11	115403291	115514813	+	1400.8	6.901	Intergenic	Intergenic	-3421	NM_001080934	217316	Mm.25773	NM_001080934		Slc16a5	A130015N09Rik|MCT 5|MCT 6|MCT5	solute carrier family 16 (monocarboxylic acid transporters), member 5	protein-coding
chr11-83265	chr11	33998887	34102978	+	1395.4	3.935	exon (NM_010696, exon 2 of 21)	exon (NM_010696, exon 2 of 21)	3731	NM_010696	16822	Mm.265350	NM_010696	ENSMUSG00000002699	Lcp2	AI323664|BB161688|SLP-76|SLP76|twm	lymphocyte cytosolic protein 2	protein-coding
chr6-54316	chr6	39226462	39353653	+	1393.9	3.929	Intergenic	MLT1J|LTR|ERVL-MaLR	-83284	NM_001033430	338523	Mm.293175	NM_001033430	ENSMUSG00000042599	Kdm7a	A630082K20Rik|BB041802|ENSMUSG00000073143|Jhdm1d|mKIAA1718	lysine (K)-specific demethylase 7A	protein-coding
chr19-34774	chr19	53137236	53235189	+	1389.4	3.881	intron (NM_013758, intron 1 of 15)	intron (NM_013758, intron 1 of 15)	42215	NM_013758	27360	Mm.426080	NM_013758	ENSMUSG00000025026	Add3	AI463285|R75380	adducin 3 (gamma)	protein-coding
chr11-67126	chr11	23659119	23823941	+	1383.9	3.675	TTS (NM_009044)	TTS (NM_009044)	29440	NM_009044	19696	Mm.4869	NM_009044	ENSMUSG00000020275	Rel	c-Rel	reticuloendotheliosis oncogene	protein-coding
chr15-46934	chr15	25811437	25964378	+	1382.3	3.590	intron (NM_001034851, intron 1 of 8)	intron (NM_001034851, intron 1 of 8)	44609	NM_001034851	66270	Mm.25311	NM_025459	ENSMUSG00000022270	Fam134b	1810015C04Rik|AU015349	family with sequence similarity 134, member B	protein-coding
chr7-57140	chr7	104203930	104318431	+	1380.9	3.549	exon (NM_030684, exon 8 of 8)	exon (NM_030684, exon 8 of 8)	16723	NM_030684	94094	Mm.326945	NM_030684	ENSMUSG00000056144	Trim34a	Trim34|Trim34-1	tripartite motif-containing 34A	protein-coding
chr13-26853	chr13	44729663	44924056	+	1380.6	3.330	intron (NM_001205043, intron 2 of 17)	ORR1E|LTR|ERVL-MaLR	95588	NM_001205043	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
chr11-89199	chr11	106461037	106630338	+	1380.6	2.967	intron (NM_198292, intron 4 of 11)	intron (NM_198292, intron 4 of 11)	44696	NR_030703	100216537		NR_030703	ENSMUSG00000065126	Snord104	-	small nucleolar RNA, C/D box 104	snoRNA
chr17-42290	chr17	6729263	6835765	+	1378.1	2.140	intron (NM_009510, intron 1 of 12)	intron (NM_009510, intron 1 of 12)	266	NM_009510	22350	Mm.277812	NM_009510	ENSMUSG00000052397	Ezr	AW146364|R75297|Vil2|p81	ezrin	protein-coding
chr1-62143	chr1	13214497	13386500	+	1377.9	2.692	intron (NM_001077695, intron 1 of 21)	(CGGA)n|Simple_repeat|Simple_repeat	73585	NM_001077695	17978	Mm.2537	NM_008678	ENSMUSG00000005886	Ncoa2	9530095N19|D1Ertd433e|GRIP-1|Grip1|KAT13C|SRC-2|TIF-2|TIF2|bHLHe75	nuclear receptor coactivator 2	protein-coding
chr6-52224	chr6	128784062	128900861	+	1372.9	2.485	Intergenic	Intergenic	-16146	NM_030599	80782	Mm.6180	NM_030599	ENSMUSG00000079298	Klrb1b	Klrb1d|Ly55b|Ly55d|NKR-P1B|NKR-P1D|Nkrp1-b|Nkrp1d	killer cell lectin-like receptor subfamily B member 1B	protein-coding
chr6-62276	chr6	72918586	73024568	+	1372.7	2.930	Intergenic	(TC)n|Simple_repeat|Simple_repeat	-12829	NM_001190327	19240	Mm.3532	NM_025284	ENSMUSG00000079523	Tmsb10	Ptmb10|Tb10	thymosin, beta 10	protein-coding
chr11-83149	chr11	32506943	32588038	+	1370.5	3.136	intron (NM_009288, intron 1 of 18)	(CCCA)n|Simple_repeat|Simple_repeat	14224	NM_009288	20868	Mm.8235	NM_009288	ENSMUSG00000020272	Stk10	Gek1|Lok|mKIAA4026	serine/threonine kinase 10	protein-coding
chr8-28285	chr8	124214446	124321452	+	1370.3	3.104	intron (NM_139272, intron 1 of 15)	intron (NM_139272, intron 1 of 15)	36555	NM_139272	108148	Mm.33808	NM_139272	ENSMUSG00000089704	Galnt2	AI480629	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
chr2-49300	chr2	167887969	168002238	+	1365.2	3.489	intron (NM_011201, intron 1 of 8)	B1F1|SINE|Alu	12776	NM_011201	19246	Mm.277916	NM_011201	ENSMUSG00000027540	Ptpn1	PTP-1B|PTP-HA2|PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
chr11-57682	chr11	79591435	79711133	+	1365.1	2.820	intron (NM_175543, intron 3 of 14)	intron (NM_175543, intron 3 of 14)	23802	NR_045898	72218	Mm.443271	NR_045898	ENSMUSG00000086569	Rab11fip4os2	1700020F10Rik|4930542H20Rik|Rab11fib4os2	RAB11 family interacting protein 4 (class II), opposite strand 2	ncRNA
chr11-72500	chr11	115563598	115717330	+	1362.0	2.992	Intergenic	Intergenic	-12169	NM_001252384	67283	Mm.383426	NM_026071	ENSMUSG00000020744	Slc25a19	2900089E13Rik|DNC|MUP1|TPC	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	protein-coding
chr5-60159	chr5	23375498	23487601	+	1360.6	3.190	TTS (NR_040469)	TTS (NR_040469)	2804	NR_040469	269630	Mm.425231	NR_040469	ENSMUSG00000073147	5031425E22Rik	-	RIKEN cDNA 5031425E22 gene	ncRNA
chr12-61478	chr12	80188437	80370855	+	1358.3	3.845	Intergenic	MTC|LTR|ERVL-MaLR	-19275	NM_134156	109711	Mm.253564	NM_134156	ENSMUSG00000015143	Actn1	3110023F10Rik|Actn1a	actinin, alpha 1	protein-coding
chr6-55988	chr6	87462063	87569436	+	1355.7	5.428	intron (NM_001037727, intron 1 of 10)	ORR1B2-int|LTR|ERVL-MaLR	17510	NM_001286610	232201	Mm.119564	NM_175476		Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
chr2-83360	chr2	11587842	11718700	+	1354.9	6.968	intron (NM_008367, intron 1 of 7)	intron (NM_008367, intron 1 of 7)	10479	NM_008367	16184	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding
chr17-43810	chr17	31716053	31871272	+	1353.6	7.171	Intergenic	Intergenic	62130	NM_010831	17691	Mm.290941	NM_010831	ENSMUSG00000024042	Sik1	Msk|Sik|Snf1lk	salt inducible kinase 1	protein-coding
chr11-33847	chr11	68407425	68503244	+	1350.2	7.521	intron (NM_177320, intron 1 of 18)	L1MC|LINE|L1	23209	NM_177320	320207	Mm.244960	NM_177320	ENSMUSG00000020901	Pik3r5	AV230647|F730038I15Rik	phosphoinositide-3-kinase, regulatory subunit 5, p101	protein-coding
chr8-44444	chr8	72129720	72220668	+	1345.8	7.837	intron (NM_023126, intron 4 of 7)	intron (NM_023126, intron 4 of 7)	13994	NM_023126	17274	Mm.162811	NM_023126		Rab8a	AA409338|Mel	RAB8A, member RAS oncogene family	protein-coding
chr3-53952	chr3	68924462	69062745	+	1330.7	7.780	intron (NM_026641, intron 2 of 19)	intron (NM_026641, intron 2 of 19)	10967	NM_026641	68259	Mm.389451	NM_026641	ENSMUSG00000027778	Ift80	4921524P20Rik|Wdr56|mKIAA1374	intraflagellar transport 80	protein-coding
chr15-60195	chr15	53208867	53356537	+	1320.8	7.821	intron (NM_010162, intron 1 of 10)	MER58A|DNA|hAT-Charlie	63481	NM_010162	14042	Mm.309395	NM_010162		Ext1	AA409028	exostoses (multiple) 1	protein-coding
chr6-35630	chr6	143056105	143201068	+	1316.4	7.987	Intergenic	RLTR19-int|LTR|ERVK	-28434	NM_001109688	74741	Mm.130260	NM_029081	ENSMUSG00000030279	C2cd5	5730419I09Rik|C030008B15Rik|CDP138	C2 calcium-dependent domain containing 5	protein-coding
chr12-26411	chr12	107908618	108005661	+	1312.8	7.575	intron (NM_001286343, intron 1 of 1)	intron (NM_001286343, intron 1 of 1)	46275	NM_021399	58208	Mm.392694	NM_021399	ENSMUSG00000048251	Bcl11b	9130430L19Rik|AI604821|B630002E05Rik|BCL-11B|Ctip2|Rit1	B cell leukemia/lymphoma 11B	protein-coding
chr12-58206	chr12	17657699	17795271	+	1308.5	6.960	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	35671	NM_016677	53602	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding
chr12-32197	chr12	108601080	108686705	+	1306.2	4.710	intron (NM_001163396, intron 2 of 14)	intron (NM_001163396, intron 2 of 14)	8139	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding
chr10-67664	chr10	93242063	93376215	+	1305.2	3.476	intron (NM_013508, intron 1 of 4)	intron (NM_013508, intron 1 of 4)	2020	NM_013508	13713	Mm.4454	NM_013508	ENSMUSG00000008398	Elk3	D430049E23Rik|Erp|Etrp|Net|Sap-2	ELK3, member of ETS oncogene family	protein-coding
chr8-23369	chr8	117224757	117386870	+	1302.8	2.902	intron (NM_001163262, intron 1 of 20)	B2_Mm2|SINE|B2	-43357	NM_028941	74440	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding
chr8-14955	chr8	83714812	83799897	+	1302.0	2.484	Intergenic	Intergenic	-16043	NM_011925	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Cd97	AA409984|TM7LN1	CD97 antigen	protein-coding
chr11-41541	chr11	109312075	109446002	+	1301.5	2.379	intron (NM_010303, intron 2 of 3)	intron (NM_010303, intron 2 of 3)	-15384	NR_038097	100036768	Mm.467767	NR_038097	ENSMUSG00000056687	Gm11696	OTTMUSG00000003456	predicted gene 11696	ncRNA
chr17-37048	chr17	83267253	83412379	+	1300.7	2.121	Intergenic	Intergenic	-11115	NM_001114361	78798	Mm.295565	NM_199466	ENSMUSG00000032624	Eml4	4930443C24Rik|AI644019	echinoderm microtubule associated protein like 4	protein-coding
chr13-4174	chr13	109776036	109907677	+	1298.7	2.073	intron (NM_011056, intron 7 of 16)	intron (NM_011056, intron 7 of 16)	-61953	NR_035442	100316683		NR_035442		Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
chr14-43369	chr14	54349215	54529040	+	1297.9	1.765	exon (NM_008608, exon 7 of 10)	exon (NM_008608, exon 7 of 10)	7523	NM_008608	17387	Mm.280175	NM_008608	ENSMUSG00000000957	Mmp14	AI325305|MT-MMP-1|MT1-MMP|sabe	matrix metallopeptidase 14 (membrane-inserted)	protein-coding
chr13-53243	chr13	46665875	46793236	+	1297.0	1.664	Intergenic	Intergenic	-1706	NM_175749	218210	Mm.255398	NM_175749	ENSMUSG00000021374	Nup153	B130015D15Rik|C88147	nucleoporin 153	protein-coding
chr12-31719	chr12	100820227	100929755	+	1293.3	2.277	Intergenic	B1_Mur2|SINE|Alu	24533	NM_001177674	238377	Mm.32160	NM_175493	ENSMUSG00000047415	Gpr68	BB131428|Ogr1	G protein-coupled receptor 68	protein-coding
chr9-30331	chr9	7810940	7899679	+	1292.7	2.321	intron (NM_007464, intron 5 of 8)	intron (NM_007464, intron 5 of 8)	17861	NM_007464	11796	Mm.2026	NM_007464	ENSMUSG00000032000	Birc3	AW107670|Api1|Api2|Birc2|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF49|cIAP-1|cIAP-2|cIAP1|cIAP2	baculoviral IAP repeat-containing 3	protein-coding
chr6-73625	chr6	124662350	124782945	+	1292.0	2.028	intron (NM_001077705, intron 11 of 15)	intron (NM_001077705, intron 11 of 15)	-4257	NR_029792	723944		NR_029792		Mir200c	Mirn200c	microRNA 200c	ncRNA
chr12-46834	chr12	51780922	51900775	+	1291.6	1.953	Intergenic	Lx9|LINE|L1	-11312	NM_144788	207304	Mm.249391	NM_144788	ENSMUSG00000035247	Hectd1	A630086P08Rik|AI844876|b2b327Clo|opm	HECT domain containing 1	protein-coding
chr4-25605	chr4	135069607	135221773	+	1291.4	2.159	intron (NM_019732, intron 1 of 5)	MIRb|SINE|MIR	25045	NM_019732	12399	Mm.378894	NM_019732	ENSMUSG00000070691	Runx3	AML2|Cbfa3|Pebp2a3	runt related transcription factor 3	protein-coding
chr19-39182	chr19	57046319	57136279	+	1287.1	1.656	intron (NM_001290813, intron 6 of 20)	MER5A|DNA|hAT-Charlie	27725	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding
chr9-46285	chr9	66201890	66375310	+	1285.9	1.661	Intergenic	Intergenic	-61850	NM_145617	235439	Mm.244179	NM_145617	ENSMUSG00000038664	Herc1	2810449H11Rik|B230218H07|D130015N03Rik|tbl	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	protein-coding
chr10-62725	chr10	12751043	12889812	+	1285.8	2.961	intron (NM_011682, intron 1 of 73)	intron (NM_011682, intron 1 of 73)	41308	NM_011682	22288	Mm.331784	NM_011682	ENSMUSG00000019820	Utrn	AA589569|DRP|Dmdl	utrophin	protein-coding
chr1-92510	chr1	125390999	125526743	+	1285.5	2.993	Intergenic	(CAAAA)n|Simple_repeat|Simple_repeat	-23144	NM_023735	74117	Mm.183102	NM_023735	ENSMUSG00000026341	Actr3	1200003A09Rik|Arp3	ARP3 actin-related protein 3	protein-coding
chr11-76291	chr11	60086847	60249002	+	1283.3	3.253	intron (NM_009021, intron 2 of 5)	intron (NM_009021, intron 2 of 5)	27842	NM_001037764	19377	Mm.296366	NM_009021	ENSMUSG00000062115	Rai1	Gt1	retinoic acid induced 1	protein-coding
chr11-58812	chr11	103209578	103382814	+	1282.8	2.782	Intergenic	Intergenic	-28795	NM_016896	53859	Mm.158981	NM_016896	ENSMUSG00000020941	Map3k14	Nik|aly	mitogen-activated protein kinase kinase kinase 14	protein-coding
chr9-67025	chr9	122098269	122246260	+	1282.2	2.891	Intergenic	B3|SINE|B2	54998	NM_133741	20623	Mm.257989	NM_133741	ENSMUSG00000038145	Snrk	2010012F07Rik|AI448042|AW547029|E030034B15|R74830|mKIAA0096	SNF related kinase	protein-coding
chr11-89995	chr11	115119321	115248179	+	1273.2	3.103	intron (NM_025400, intron 4 of 6)	intron (NM_025400, intron 4 of 6)	3566	NM_025400	66176	Mm.86823	NM_025400	ENSMUSG00000015542	Nat9	1110028N05Rik	N-acetyltransferase 9 (GCN5-related, putative)	protein-coding
chr9-53701	chr9	123749915	123872927	+	1272.6	3.748	3' UTR (NM_030712, exon 2 of 2)	3' UTR (NM_030712, exon 2 of 2)	4944	NM_030712	80901	Mm.124289	NM_030712	ENSMUSG00000048521	Cxcr6	BB217514|BONZO|STRL33	chemokine (C-X-C motif) receptor 6	protein-coding
chr4-63890	chr4	149647722	149737242	+	1270.7	3.438	intron (NM_001029837, intron 1 of 23)	intron (NM_001029837, intron 1 of 23)	6226	NM_001164050	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
chr10-30155	chr10	67581769	67727333	+	1269.4	3.440	Intergenic	RLTR31B_Mm|LTR|ERVK	-105596	NM_001005419	211488	Mm.297250	NM_001005419	ENSMUSG00000057134	Ado	Gm237	2-aminoethanethiol (cysteamine) dioxygenase	protein-coding
chr10-78714	chr10	127100673	127171189	+	1267.5	3.682	Intergenic	B1_Mur4|SINE|Alu	-14771	NM_001171026	216440	Mm.295246	NM_177614	ENSMUSG00000040462	Os9	4632413K17Rik|AU022351	amplified in osteosarcoma	protein-coding
chr12-42660	chr12	76834235	76963031	+	1266.0	2.342	intron (NM_145927, intron 7 of 11)	HAL1|LINE|L1	61166	NM_145927	110606	Mm.151174	NM_145927	ENSMUSG00000033373	Fntb	2010013E13Rik|AA409500	farnesyltransferase, CAAX box, beta	protein-coding
chr9-73817	chr9	107264098	107340830	+	1261.7	2.690	TTS (NM_009895)	TTS (NM_009895)	5775	NM_009895	12700	Mm.4592	NM_009895		Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding
chr11-54835	chr11	3288724	3410610	+	1261.4	2.889	intron (NM_173053, intron 10 of 14)	intron (NM_173053, intron 10 of 14)	6474	NM_001034030	16886	Mm.124176	NM_010718	ENSMUSG00000020451	Limk2	Limk-2	LIM motif-containing protein kinase 2	protein-coding
chr13-32754	chr13	43170831	43325987	+	1260.9	3.149	intron (NM_001033399, intron 1 of 1)	intron (NM_001033399, intron 1 of 1)	55763	NM_001033399	328232	Mm.441399	NM_001033399	ENSMUSG00000051335	Gfod1	9630032O13|AI850995	glucose-fructose oxidoreductase domain containing 1	protein-coding
chr12-18727	chr12	12219600	12321553	+	1258.8	2.911	intron (NM_001146119, intron 1 of 11)	intron (NM_001146119, intron 1 of 11)	8437	NM_001146119	76820	Mm.440802	NM_029758	ENSMUSG00000020589	Fam49a	2410157M17Rik|9630047E15|D12Ertd553e	family with sequence similarity 49, member A	protein-coding
chr9-49936	chr9	43974180	44069126	+	1258.3	2.720	Intergenic	L1MB5|LINE|L1	-21731	NM_009382	21838	Mm.3951	NM_009382	ENSMUSG00000032011	Thy1	CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2	thymus cell antigen 1, theta	protein-coding
chr11-40037	chr11	69033554	69134292	+	1255.5	2.136	Intergenic	B4|SINE|B4	-4605	NM_009497	22318	Mm.28643	NM_009497	ENSMUSG00000020894	Vamp2	Syb-2|Syb2|sybII	vesicle-associated membrane protein 2	protein-coding
chr3-40933	chr3	115923157	116008647	+	1252.4	2.332	intron (NM_023214, intron 8 of 10)	MIRb|SINE|MIR	41504	NM_023214	66500	Mm.34550	NM_023214	ENSMUSG00000054414	Slc30a7	1810059J10Rik|2610034N15Rik|4833428C12Rik|AI467242|ZnT-7|ZnT7|Zntl2	solute carrier family 30 (zinc transporter), member 7	protein-coding
chr8-28927	chr8	25566410	25658522	+	1249.3	2.401	intron (NM_001001735, intron 1 of 9)	intron (NM_001001735, intron 1 of 9)	10160	NM_001001735	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Whsc1l1	6720429E03|A530023P05|AI528490|NSD3|WHISTLE	Wolf-Hirschhorn syndrome candidate 1-like 1 (human)	protein-coding
chr7-61395	chr7	66101845	66234901	+	1249.0	2.146	intron (NM_001081163, intron 2 of 2)	intron (NM_001081163, intron 2 of 2)	58858	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	mKIAA0990	chondroitin sulfate synthase 1	protein-coding
chr14-50578	chr14	75130607	75232696	+	1248.7	2.479	intron (NM_008879, intron 2 of 16)	intron (NM_008879, intron 2 of 16)	45226	NM_008879	18826	Mm.153911	NM_008879	ENSMUSG00000021998	Lcp1	AW536232|D14Ertd310e|LCP-1|Pls2|pp65	lymphocyte cytosolic protein 1	protein-coding
chr6-67920	chr6	30218802	30357499	+	1248.1	2.326	intron (NM_001169576, intron 1 of 4)	RMER1B|Other|Other	16389	NM_009459	22214	Mm.332967	NM_009459	ENSMUSG00000039159	Ube2h	1500009C23Rik|AI181839|AI326965|AI462483|AW227540|E2-20K|Gid3|N28148|Ubc8	ubiquitin-conjugating enzyme E2H	protein-coding
chr4-69866	chr4	123474155	123588905	+	1246.6	1.865	intron (NM_001199136, intron 5 of 97)	intron (NM_001199136, intron 5 of 97)	-84890	NR_105824	102465214		NR_105824	miRBase:MI0021934	Mir6398	mmu-mir-6398	microRNA mir-6398	ncRNA
chr13-45944	chr13	37509062	37686153	+	1245.7	1.658	Intergenic	Intergenic	-228431	NM_026830	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
chr2-89665	chr2	131985105	132059242	+	1245.1	2.637	intron (NM_175445, intron 1 of 10)	intron (NM_175445, intron 1 of 10)	7815	NM_175445	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding
chr4-37876	chr4	8888030	9030194	+	1242.5	2.994	Intergenic	Intergenic	268706	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
chr6-71300	chr6	90670754	90783795	+	1240.7	3.222	intron (NM_001134384, intron 1 of 13)	intron (NM_001134384, intron 1 of 13)	-10745	NM_001134383	232227	Mm.196943	NM_182784	ENSMUSG00000034312	Iqsec1	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
