PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr13-38793	chr13	73680509	73822389	+	1351.9	5.326	Intergenic	RLTR28|LTR|ERVL	-12248	NM_011390	20499	Mm.275800	NM_011390	ENSMUSG00000017756	Slc12a7	AA408796|D13Ertd261e|Kcc4	solute carrier family 12, member 7	protein-coding
chr12-22524	chr12	100835948	100928721	+	1350.8	4.941	intron (NM_001177673, intron 2 of 2)	intron (NM_001177673, intron 2 of 2)	17190	NM_001177674	238377	Mm.32160	NM_175493	ENSMUSG00000047415	Gpr68	BB131428|Ogr1	G protein-coupled receptor 68	protein-coding
chr7-39058	chr7	58657783	58790744	+	1344.7	4.111	intron (NM_009728, intron 1 of 20)	L1MA7|LINE|L1	66061	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
chr8-31712	chr8	61356982	61497579	+	1342.3	3.984	Intergenic	B4A|SINE|B4	-60454	NM_145595	234309	Mm.29059	NM_145595	ENSMUSG00000031641	Cbr4	A730083J17Rik|BC009118	carbonyl reductase 4	protein-coding
chr14-34554	chr14	75169184	75226913	+	1341.3	3.745	intron (NM_008879, intron 2 of 16)	intron (NM_008879, intron 2 of 16)	-44239	NM_019775	56373	Mm.24242	NM_019775	ENSMUSG00000021999	Cpb2	1110032P04Rik|4930405E17Rik|AI255929|CPR|Cpu|TAFI	carboxypeptidase B2 (plasma)	protein-coding
chr4-57044	chr4	129731493	129840176	+	1341.0	3.788	Intergenic	Intergenic	-34645	NM_008974	19244	Mm.193688	NM_008974	ENSMUSG00000028788	Ptp4a2	Prl-2	protein tyrosine phosphatase 4a2	protein-coding
chr11-72840	chr11	30101300	30199560	+	1340.3	3.608	intron (NM_175836, intron 4 of 34)	intron (NM_175836, intron 4 of 34)	47827	NM_009260	20742	Mm.123110	NM_009260	ENSMUSG00000020315	Sptbn1	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	spectrin beta, non-erythrocytic 1	protein-coding
chr10-33817	chr10	44321911	44462923	+	1339.0	2.466	Intergenic	Intergenic	32741	NR_035450	100316688		NR_035450		Mir1929	mmu-mir-1929	microRNA 1929	ncRNA
chr5-56255	chr5	107131189	107292843	+	1337.2	3.850	intron (NM_011578, intron 3 of 16)	intron (NM_011578, intron 3 of 16)	77579	NM_011578	21814	Mm.200775	NM_011578	ENSMUSG00000029287	Tgfbr3	1110036H20Rik|AU015626|AW215636|TBRIII	transforming growth factor, beta receptor III	protein-coding
chr10-59620	chr10	122717535	122829249	+	1336.8	4.527	intron (NM_176919, intron 1 of 8)	intron (NM_176919, intron 1 of 8)	94077	NR_106182	102466884		NR_106182		Mir8104	mmu-mir-8104	microRNA mir-8104	ncRNA
chr10-36358	chr10	21153723	21269339	+	1334.0	4.859	Intergenic	IAPLTR1_Mm|LTR|ERVK	-50547	NM_001198914	17863	Mm.52109	NM_010848	ENSMUSG00000019982	Myb	AI550390|M16449|c-myb	myeloblastosis oncogene	protein-coding
chr2-40298	chr2	93415628	93471345	+	1333.7	4.784	intron (NM_001136055, intron 1 of 9)	intron (NM_001136055, intron 1 of 9)	9186	NM_001271462	12521	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding
chr18-11500	chr18	70521999	70652745	+	1333.0	4.761	intron (NM_010773, intron 2 of 6)	B3|SINE|B2	19080	NM_010773	17191	Mm.322	NM_010773	ENSMUSG00000024513	Mbd2	MBD2a	methyl-CpG binding domain protein 2	protein-coding
chr12-20705	chr12	102282237	102385296	+	1324.0	5.835	intron (NM_177620, intron 3 of 9)	intron (NM_177620, intron 3 of 9)	50125	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
chr12-32513	chr12	84163111	84248405	+	1319.8	5.870	intron (NM_001163501, intron 1 of 12)	intron (NM_001163501, intron 1 of 12)	-11743	NM_001163502	238317	Mm.31256	NM_001163501	ENSMUSG00000042507	Elmsan1	9430029N19Rik|C130039O16Rik|Gm260	ELM2 and Myb/SANT-like domain containing 1	protein-coding
chr5-57644	chr5	124002312	124095707	+	1318.0	5.400	Intergenic	B4A|SINE|B4	-16749	NM_177876	330192	Mm.4079	NM_177876	ENSMUSG00000066278	Vps37b	2300007F24Rik|AI415429|BC026744	vacuolar protein sorting 37B (yeast)	protein-coding
chr2-65391	chr2	165944408	166046817	+	1317.6	5.684	intron (NM_008679, intron 1 of 22)	B3|SINE|B2	2975	NM_008679	17979	Mm.469663	NM_008679	ENSMUSG00000027678	Ncoa3	2010305B15Rik|AW321064|Actr|Aib1|KAT13B|Rac3|Src3|Tram-1|Tram1|bHLHe42|p/Cip|pCip	nuclear receptor coactivator 3	protein-coding
chr3-24792	chr3	101264898	101304541	+	1316.4	6.558	intron (NM_013486, intron 2 of 4)	intron (NM_013486, intron 2 of 4)	3220	NM_013486	12481	Mm.22842	NM_013486	ENSMUSG00000027863	Cd2	LFA-2|Ly-37|Ly37	CD2 antigen	protein-coding
chr16-31698	chr16	24390958	24549063	+	1309.5	5.219	intron (NM_001145952, intron 2 of 11)	intron (NM_001145952, intron 2 of 11)	21919	NM_001145952	210126	Mm.209385	NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|AA959454|AU024130|B130055L10Rik|C79715|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
chr16-23767	chr16	45279712	45410439	+	1309.0	4.385	Intergenic	Lx7|LINE|L1	63978	NM_010818	17470	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding
chr19-14016	chr19	34162157	34307428	+	1308.4	5.530	intron (NM_029682, intron 6 of 10)	intron (NM_029682, intron 6 of 10)	20581	NM_007392	11475	Mm.213025	NM_007392		Acta2	0610041G09Rik|Actvs|SMalphaA|a-SMA|alphaSMA	actin, alpha 2, smooth muscle, aorta	protein-coding
chr8-37543	chr8	3308339	3449719	+	1306.8	5.491	intron (NM_001033378, intron 2 of 10)	ORR1C2|LTR|ERVL-MaLR	-13979	NM_133962	102098	Mm.170461	NM_133962	ENSMUSG00000004568	Arhgef18	AI467246|D030053O22Rik	rho/rac guanine nucleotide exchange factor (GEF) 18	protein-coding
chr14-22666	chr14	40917921	40976129	+	1301.9	6.325	intron (NM_145928, intron 1 of 8)	intron (NM_145928, intron 1 of 8)	19782	NM_145928	52588	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14	tetraspanin 14	protein-coding
chr5-36790	chr5	107675611	107779913	+	1299.3	4.967	Intergenic	Intergenic	-1957	NM_001267621	14581	Mm.2078	NM_010278	ENSMUSG00000029275	Gfi1	AW495828|Gfi-1|Pal-1|Pal1	growth factor independent 1	protein-coding
chr1-47323	chr1	128639971	128809476	+	1299.1	5.390	Intergenic	ID_B1|SINE|B4	-132424	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
chr10-47798	chr10	127100315	127171295	+	1291.8	6.317	Intergenic	Intergenic	-14645	NM_001171026	216440	Mm.295246	NM_177614	ENSMUSG00000040462	Os9	4632413K17Rik|AU022351	amplified in osteosarcoma	protein-coding
chr5-38605	chr5	23365740	23463888	+	1291.6	6.402	Intergenic	MIR|SINE|MIR	19539	NR_040469	269630	Mm.425231	NR_040469	ENSMUSG00000073147	5031425E22Rik	-	RIKEN cDNA 5031425E22 gene	ncRNA
chr6-9105	chr6	70709514	70884599	+	1286.5	5.444	Intergenic	MTE-int|LTR|ERVL-MaLR	-4881	NM_009075	19895	Mm.17905	NM_009075	ENSMUSG00000053604	Rpia	RPI	ribose 5-phosphate isomerase A	protein-coding
chr1-62319	chr1	80587611	80678766	+	1286.0	5.361	intron (NM_001285927, intron 3 of 55)	AT_rich|Low_complexity|Low_complexity	32164	NM_001285927	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
chr7-39922	chr7	89998170	90093781	+	1283.5	5.423	intron (NR_110364, intron 5 of 5)	intron (NR_110364, intron 5 of 5)	16816	NR_110365	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
chr10-41579	chr10	80014686	80123454	+	1278.4	4.564	intron (NM_183426, intron 8 of 31)	GC_rich|Low_complexity|Low_complexity	15051	NM_001037741	625249	Mm.332810	NM_008162	ENSMUSG00000075706	Gpx4	GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx	glutathione peroxidase 4	protein-coding
chr2-45334	chr2	168471350	168604975	+	1276.5	4.592	intron (NM_001291169, intron 3 of 10)	intron (NM_001291169, intron 3 of 10)	52203	NM_001291179	18019	Mm.116802	NM_010899	ENSMUSG00000027544	Nfatc2	AI607462|NF-ATc2|NF-ATp|NFAT1|NFAT1-D|Nfatp	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	protein-coding
chr10-45565	chr10	67579692	67729314	+	1276.1	4.583	Intergenic	RLTR31B_Mm|LTR|ERVK	-105548	NM_001005419	211488	Mm.297250	NM_001005419	ENSMUSG00000057134	Ado	Gm237	2-aminoethanethiol (cysteamine) dioxygenase	protein-coding
chr5-47276	chr5	3455787	3546615	+	1273.9	4.642	intron (NM_009873, intron 4 of 6)	intron (NM_009873, intron 4 of 6)	-42632	NM_001042501	68152	Mm.240265	NM_026583		Fam133b	2900022K02Rik|5830415L20Rik	family with sequence similarity 133, member B	protein-coding
chr1-73400	chr1	171594017	171702265	+	1273.4	4.304	intron (NM_144539, intron 2 of 7)	IMPB_01|Satellite|Satellite	4896	NM_144539	75345	Mm.164642	NM_144539		Slamf7	19A|19A24|4930560D03Rik|CRACC|CS1	SLAM family member 7	protein-coding
chr4-25940	chr4	63343780	63424556	+	1270.1	4.394	intron (NM_001045514, intron 6 of 21)	intron (NM_001045514, intron 6 of 21)	19277	NM_001045514	100182	Mm.387725	NM_001045514	ENSMUSG00000039158	Akna	AI597013|mKIAA1968	AT-hook transcription factor	protein-coding
chr3-30327	chr3	9747787	9866454	+	1269.9	4.191	intron (NM_001195031, intron 1 of 8)	intron (NM_001195031, intron 1 of 8)	26559	NM_001195031	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
chr2-71409	chr2	131990499	132073293	+	1264.8	4.184	Intergenic	Intergenic	-1908	NM_175445	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding
chr14-38459	chr14	73308928	73451498	+	1264.0	4.784	intron (NM_008410, intron 1 of 5)	intron (NM_008410, intron 1 of 5)	5058	NM_008410	16432	Mm.4266	NM_008410	ENSMUSG00000022108	Itm2b	AI256040|Bri|Bri2|Bricd2b|D14Sel6|E25BMM|imBRI2	integral membrane protein 2B	protein-coding
chr6-28722	chr6	142908362	142965475	+	1263.1	4.695	intron (NM_011374, intron 1 of 4)	intron (NM_011374, intron 1 of 4)	27534	NM_011374	20449	Mm.260838	NM_011374	ENSMUSG00000030283	St8sia1	9330109E03Rik|GD3S|Sia-T|Siat8|Siat8a	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein-coding
chr11-66160	chr11	46054235	46145647	+	1257.6	4.605	intron (NM_009616, intron 5 of 22)	intron (NM_009616, intron 5 of 22)	-2329	NR_106177	102465996		NR_106177		Mir8100	mmu-mir-8100	microRNA mir-8100	ncRNA
chr6-22440	chr6	113604285	113706763	+	1256.6	5.149	intron (NM_001113553, intron 2 of 11)	L2a|LINE|L2	17057	NM_172161	108960	Mm.152142	NM_172161	ENSMUSG00000060477	Irak2	6330415L08Rik|AI649099|IRAK-2	interleukin-1 receptor-associated kinase 2	protein-coding
chr8-39652	chr8	83714791	83799468	+	1256.3	4.170	Intergenic	Intergenic	-15818	NM_001163029	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Cd97	AA409984|TM7LN1	CD97 antigen	protein-coding
chr10-45020	chr10	53985175	54092436	+	1251.2	4.748	intron (NM_008548, intron 2 of 12)	intron (NM_008548, intron 2 of 12)	36991	NM_008548	17155	Mm.117294	NM_008548	ENSMUSG00000003746	Man1a	Man1a1|PCR1	mannosidase 1, alpha	protein-coding
chr6-47051	chr6	97271143	97354808	+	1251.1	4.778	intron (NM_145148, intron 12 of 23)	AT_rich|Low_complexity|Low_complexity	-60195	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
chr15-36803	chr15	55792641	55911131	+	1248.3	4.148	intron (NM_016667, intron 1 of 6)	intron (NM_016667, intron 1 of 6)	55063	NM_016667	20649	Mm.309425	NM_016667	ENSMUSG00000060429	Sntb1	-	syntrophin, basic 1	protein-coding
chr9-13991	chr9	116283719	116387256	+	1245.5	4.793	Intergenic	Intergenic	-160124	NM_029575	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
chr19-28031	chr19	53855657	53946341	+	1245.0	5.769	intron (NM_011050, intron 1 of 11)	intron (NM_011050, intron 1 of 11)	-2352	NM_001168491	18569	Mm.1605	NM_011050	ENSMUSG00000024975	Pdcd4	D19Ucla1|Ma3|Tis	programmed cell death 4	protein-coding
chr4-18131	chr4	136071588	136190797	+	1241.5	5.139	Intergenic	Intergenic	-12630	NM_008321	15903	Mm.110	NM_008321		Id3	Hlh462|Idb3|bHLHb25	inhibitor of DNA binding 3	protein-coding
chr11-33241	chr11	23682693	23823952	+	1240.5	5.541	intron (NM_009044, intron 3 of 9)	intron (NM_009044, intron 3 of 9)	17648	NM_009044	19696	Mm.4869	NM_009044	ENSMUSG00000020275	Rel	c-Rel	reticuloendotheliosis oncogene	protein-coding
chr7-39415	chr7	74416567	74557317	+	1238.0	5.078	intron (NM_001038643, intron 2 of 10)	intron (NM_001038643, intron 2 of 10)	67838	NM_023908	108116	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding
chr1-35874	chr1	74227088	74398380	+	1233.9	5.623	intron (NM_001039509, intron 2 of 9)	intron (NM_001039509, intron 2 of 9)	-8398	NM_027154	69660	Mm.261182	NM_027154	ENSMUSG00000006301	Tmbim1	2310061B02Rik|AA960455|AU024746|C78899|RECS1|Tmbib1|mKIAA4161	transmembrane BAX inhibitor motif containing 1	protein-coding
chr5-42057	chr5	142366572	142464963	+	1229.0	6.423	intron (NM_199068, intron 1 of 8)	intron (NM_199068, intron 1 of 8)	14270	NM_199068	17425	Mm.24214	NM_010812	ENSMUSG00000056493	Foxk1	A630048H08Rik|AI463295|ENSMUSG00000075577|Gm10868|Mnf	forkhead box K1	protein-coding
chr12-41416	chr12	104954822	105037210	+	1226.9	6.016	intron (NM_172500, intron 1 of 16)	RSINE1|SINE|B4	2661	NM_001042699	212073	Mm.212688	NM_172500	ENSMUSG00000054150	Syne3	nesprin-3	spectrin repeat containing, nuclear envelope family member 3	protein-coding
chr17-27164	chr17	4979997	5150901	+	1224.9	6.169	intron (NM_001085355, intron 2 of 19)	intron (NM_001085355, intron 2 of 19)	70375	NM_001085355	239985	Mm.133401	NM_001085355	ENSMUSG00000069729	Arid1b	8030481M12|9330189K18Rik|AI836955|Ardi1b|B230217J03Rik|mKIAA1235	AT rich interactive domain 1B (SWI-like)	protein-coding
chr8-38357	chr8	35584586	35681046	+	1224.3	5.791	intron (NM_001081279, intron 1 of 2)	intron (NM_001081279, intron 1 of 2)	-43796	NR_040376	100504714	Mm.381744	NR_040376	ENSMUSG00000097357	Gm16793	-	predicted gene, 16793	ncRNA
chr8-19228	chr8	86685468	86822378	+	1218.8	4.981	Intergenic	Intergenic	-7917	NM_009172	20437	Mm.324553	NM_009172	ENSMUSG00000036840	Siah1a	AA982064|AI853500|Sinh1a	seven in absentia 1A	protein-coding
chr9-57784	chr9	114385176	114510252	+	1214.6	3.979	intron (NR_108101, intron 9 of 14)	intron (NR_108101, intron 9 of 14)	46619	NM_001200002	100504715	Mm.290516	NM_001200002	ENSMUSG00000079260	Tmppe	-	transmembrane protein with metallophosphoesterase domain	protein-coding
chr3-21891	chr3	22071292	22205525	+	1213.0	3.923	intron (NM_030732, intron 1 of 15)	intron (NM_030732, intron 1 of 15)	61756	NM_030732	81004	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding
chr6-25475	chr6	72937152	73012959	+	1211.2	3.678	Intergenic	Lx8|LINE|L1	-16307	NM_001190327	19240	Mm.3532	NM_025284	ENSMUSG00000079523	Tmsb10	Ptmb10|Tb10	thymosin, beta 10	protein-coding
chr11-63328	chr11	104579209	104670220	+	1210.5	3.658	intron (NM_016780, intron 2 of 14)	intron (NM_016780, intron 2 of 14)	16714	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
chr10-35326	chr10	111156002	111262364	+	1210.3	2.728	intron (NM_001003717, intron 2 of 22)	intron (NM_001003717, intron 2 of 22)	44381	NM_001003717	237542	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding
chr4-52599	chr4	155990236	156035162	+	1210.1	2.328	promoter-TSS (NM_011659)	promoter-TSS (NM_011659)	-996	NM_011659	22163	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding
chr15-7629	chr15	100039089	100153621	+	1208.3	2.340	intron (NR_037311, intron 2 of 3)	B1_Mus1|SINE|Alu	57691	NM_001159361	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
chr8-35926	chr8	88623054	88720430	+	1207.4	2.288	intron (NM_145857, intron 6 of 12)	MIR|SINE|MIR	24395	NM_145857	257632	Mm.222633	NM_145857	ENSMUSG00000055994	Nod2	ACUG|BLAU|CD|Card15|F830032C23Rik|IBD1|Nlrc2	nucleotide-binding oligomerization domain containing 2	protein-coding
chr10-50883	chr10	75259674	75365788	+	1206.9	2.262	TTS (NM_001145826)	TTS (NM_001145826)	-4146	NM_009630	11540	Mm.333734	NM_009630	ENSMUSG00000020178	Adora2a	A2AAR|A2aR|AA2AR	adenosine A2a receptor	protein-coding
chr10-35861	chr10	6952365	7010892	+	1205.9	2.521	intron (NM_001039652, intron 4 of 5)	(TATG)n|Simple_repeat|Simple_repeat	-1163	NM_001170801	320495	Mm.331674	NM_001033391	ENSMUSG00000064065	Ipcef1	A130090K04Rik	interaction protein for cytohesin exchange factors 1	protein-coding
chr16-15533	chr16	76282978	76374255	+	1203.5	3.132	intron (NM_173440, intron 3 of 3)	intron (NM_173440, intron 3 of 3)	44433	NM_173440	268903	Mm.74711	NM_173440	ENSMUSG00000048490	Nrip1	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	nuclear receptor interacting protein 1	protein-coding
chr3-47121	chr3	88484577	88554766	+	1201.9	3.070	Intergenic	ORR1A2|LTR|ERVL-MaLR	-12724	NM_001029890	72640	Mm.275154	NM_001029890	ENSMUSG00000074480	Mex3a	2700083E18Rik|Gm411|Rkhd4	mex3 homolog A (C. elegans)	protein-coding
chr6-58132	chr6	94621999	94705951	+	1200.4	3.287	exon (NM_008377, exon 2 of 19)	exon (NM_008377, exon 2 of 19)	36170	NM_008377	16206	Mm.245210	NM_008377	ENSMUSG00000030029	Lrig1	D6Bwg0781e|Img|LIG-1	leucine-rich repeats and immunoglobulin-like domains 1	protein-coding
chr17-38933	chr17	50499269	50600806	+	1199.8	3.374	intron (NM_013880, intron 1 of 5)	Lx|LINE|L1	40490	NM_013880	224860	Mm.217362	NM_013880	ENSMUSG00000038910	Plcl2	PLC-L2|PRIP-2|Plce2|mKIAA1092	phospholipase C-like 2	protein-coding
chr2-48217	chr2	127300684	127340742	+	1198.4	3.692	Intergenic	Intergenic	-15446	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding
chr11-74520	chr11	58167647	58239696	+	1195.3	3.790	intron (NM_018738, intron 2 of 2)	intron (NM_018738, intron 2 of 2)	4115	NM_018738	16145	Mm.33902	NM_018738	ENSMUSG00000078853	Igtp	AW558444|Irgm3	interferon gamma induced GTPase	protein-coding
chr1-52648	chr1	144237061	144354282	+	1193.8	3.761	Intergenic	RSINE1|SINE|B4	-46567	NM_015811	50778	Mm.103701	NM_015811	ENSMUSG00000026358	Rgs1	BL34	regulator of G-protein signaling 1	protein-coding
chr18-18228	chr18	62064412	62193435	+	1191.9	4.168	Intergenic	Intergenic	51058	NM_007420	11555	Mm.5598	NM_007420	ENSMUSG00000045730	Adrb2	Adrb-2|Badm|Gpcr7	adrenergic receptor, beta 2	protein-coding
chr3-40078	chr3	142520210	142640438	+	1190.9	4.666	Intergenic	L1Md_F2|LINE|L1	-14523	NM_010259	14468	Mm.457978	NM_010259	ENSMUSG00000028269	Gbp2b	Gbp-1|Gbp1|Mag-1|Mpa-1|Mpa1	guanylate binding protein 2b	protein-coding
chr12-43900	chr12	51789425	51892883	+	1188.4	4.769	Intergenic	Lx9|LINE|L1	-11618	NM_144788	207304	Mm.249391	NM_144788	ENSMUSG00000035247	Hectd1	A630086P08Rik|AI844876|b2b327Clo|opm	HECT domain containing 1	protein-coding
chr4-28908	chr4	129495691	129585429	+	1185.6	4.846	intron (NM_008228, intron 1 of 13)	Lx9|LINE|L1	2086	NM_008228	433759	Mm.202504	NM_008228	ENSMUSG00000028800	Hdac1	HD1|Hdac1-ps|MommeD5|RPD3	histone deacetylase 1	protein-coding
chr4-16658	chr4	128962607	129071654	+	1184.1	5.059	Intergenic	ID_B1|SINE|B4	23906	NM_016895	11637	Mm.29460	NM_016895	ENSMUSG00000028792	Ak2	Ak-2|D4Ertd220e	adenylate kinase 2	protein-coding
chr10-43982	chr10	19933572	20041246	+	1180.6	4.738	intron (NM_008580, intron 1 of 29)	B4|SINE|B4	52883	NM_008580	26408	Mm.6595	NM_008580	ENSMUSG00000071369	Map3k5	7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5	mitogen-activated protein kinase kinase kinase 5	protein-coding
chr2-65635	chr2	167742752	167867482	+	1177.7	4.918	Intergenic	Intergenic	113940	NR_015500	329562	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA
chr5-4269	chr5	103691686	103816786	+	1175.8	4.531	promoter-TSS (NM_001080798)	promoter-TSS (NM_001080798)	74	NM_133919	17355	Mm.6949	NM_133919	ENSMUSG00000029313	Aff1	9630032B01Rik|AW319193|Af4|Mllt2h|Rob	AF4/FMR2 family, member 1	protein-coding
chr12-30913	chr12	17689148	17795283	+	1172.3	4.585	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	51401	NM_016677	53602	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding
chr1-56315	chr1	80699192	80766724	+	1169.8	4.276	intron (NM_175291, intron 1 of 55)	intron (NM_175291, intron 1 of 55)	25595	NM_175291	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
chr3-46720	chr3	83936318	84048715	+	1169.4	3.896	intron (NM_172681, intron 3 of 34)	RMER30|DNA|hAT-Charlie	47645	NM_172681	229473	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding
chr2-70188	chr2	102936010	103019050	+	1167.6	3.518	Intergenic	MIRc|SINE|MIR	-75865	NM_001039150	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
chr3-46491	chr3	69111917	69224212	+	1167.0	3.471	Intergenic	RSINE1|SINE|B4	36831	NM_001243000	381452	Mm.331067	NM_001243000	ENSMUSG00000094763	Gm1647	-	predicted gene 1647	protein-coding
chr5-23408	chr5	73180955	73295960	+	1163.9	3.186	intron (NM_028194, intron 1 of 62)	B4|SINE|B4	18161	NM_028194	72313	Mm.260594	NM_028194	ENSMUSG00000070733	Fryl	2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826	furry homolog-like (Drosophila)	protein-coding
chr1-39155	chr1	82787506	82872801	+	1163.8	2.827	Intergenic	RMER4B|LTR|ERVK	-9330	NM_010472	15463	Mm.392569	NM_010472	ENSMUSG00000026159	Agfg1	AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip	ArfGAP with FG repeats 1	protein-coding
chr13-40196	chr13	117193539	117263960	+	1162.2	3.154	intron (NM_010330, intron 1 of 8)	intron (NM_010330, intron 1 of 8)	8176	NM_010330	13723	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding
chr1-71579	chr1	134043379	134112837	+	1161.0	3.180	intron (NM_007570, intron 1 of 1)	intron (NM_007570, intron 1 of 1)	1047	NM_007570	12227	Mm.392646	NM_007570	ENSMUSG00000020423	Btg2	AA959598|APRO1|Pc3|TIS21	B cell translocation gene 2, anti-proliferative	protein-coding
chr8-33279	chr8	119777590	119841747	+	1159.3	3.120	3' UTR (NM_028071, exon 4 of 4)	3' UTR (NM_028071, exon 4 of 4)	30911	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding
chr1-74557	chr1	191350468	191463292	+	1157.2	2.656	Intergenic	Intergenic	-9839	NM_144880	226849	Mm.205569	NM_144880	ENSMUSG00000026626	Ppp2r5a	PR61alpha	protein phosphatase 2, regulatory subunit B', alpha	protein-coding
chr6-11152	chr6	90673032	90770485	+	1156.4	3.994	intron (NM_001134384, intron 1 of 13)	intron (NM_001134384, intron 1 of 13)	-5229	NM_001134383	232227	Mm.196943	NM_182784	ENSMUSG00000034312	Iqsec1	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
