PeakID (cmd=annotatePeaks.pl enhancers_only_no_peptide.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
8885	chr18	79338816	79339316	+	0	NA	Intergenic	Intergenic	-229675	NM_053099	240427	Mm.312871	NM_053099	ENSMUSG00000024548	Setbp1	C130092E12|Seb|mKIAA0437	SET binding protein 1	protein-coding
4245	chr6	99397768	99398268	+	0	NA	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	37327	NM_053202	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
6482	chr13	111781400	111782130	+	0	NA	intron (NM_011945, intron 1 of 19)	intron (NM_011945, intron 1 of 19)	27218	NM_011945	26401	Mm.15918	NM_011945	ENSMUSG00000021754	Map3k1	MAPKKK1|MEKK1|Mekk	mitogen-activated protein kinase kinase kinase 1	protein-coding
6454	chr11	76732578	76733216	+	0	NA	intron (NM_016810, intron 8 of 8)	RMER15|LTR|ERVL	30658	NM_016810	53334	Mm.20931	NM_016810	ENSMUSG00000010392	Gosr1	AI414660|AI426320|BB145494|GOS-28|GOSRI|GS28	golgi SNAP receptor complex member 1	protein-coding
7991	chr1	95593777	95594277	+	0	NA	intron (NM_009183, intron 4 of 4)	Lx8b|LINE|L1	73567	NM_009183	20452	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding
7906	chr14	36316563	36317063	+	0	NA	Intergenic	Intergenic	221848	NM_175008	218921	Mm.212464	NM_175008	ENSMUSG00000096405	4930474N05Rik	-	RIKEN cDNA 4930474N05 gene	protein-coding
6453	chr11	75970359	75970859	+	0	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-29303	NM_198637	74230	Mm.271247	NM_198637	ENSMUSG00000053783	1700016K19Rik	-	RIKEN cDNA 1700016K19 gene	protein-coding
8278	chr6	50373264	50373764	+	0	NA	intron (NM_001163645, intron 2 of 21)	intron (NM_001163645, intron 2 of 21)	9323	NM_027881	71720	Mm.44153	NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding
3893	chr6	142909070	142909702	+	0	NA	intron (NM_011374, intron 2 of 4)	intron (NM_011374, intron 2 of 4)	55066	NM_011374	20449	Mm.260838	NM_011374	ENSMUSG00000030283	St8sia1	9330109E03Rik|GD3S|Sia-T|Siat8|Siat8a	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein-coding
8790	chr10	120374826	120375326	+	0	NA	intron (NM_010441, intron 3 of 4)	L1MB7|LINE|L1	-14447	NR_040626	320626	Mm.446091	NR_040626	ENSMUSG00000090191	9230105E05Rik	-	RIKEN cDNA 9230105E05 gene	ncRNA
8616	chr12	16384667	16385167	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	204853	NM_001130412	14245	Mm.153625	NM_015763	ENSMUSG00000020593	Lpin1	4631420P06|Kiaa0188|Lipin1|fld|mKIAA0188	lipin 1	protein-coding
6836	chr1	60460526	60461026	+	0	NA	intron (NM_198127, intron 7 of 8)	intron (NM_198127, intron 7 of 8)	51157	NM_001198570	329165	Mm.212066	NM_198127	ENSMUSG00000026782	Abi2	8430425M24Rik|AI839867|C130078H13	abl-interactor 2	protein-coding
8693	chr2	166545415	166545915	+	0	NA	Intergenic	Intergenic	98214	NR_015558	319684	Mm.399746	NR_015558		5031425F14Rik	-	RIKEN cDNA 5031425F14 gene	ncRNA
8515	chr2	155882643	155883143	+	0	NA	intron (NR_024487, intron 7 of 9)	intron (NR_024487, intron 7 of 9)	47417	NR_024487	56046	Mm.158827	NM_018888	ENSMUSG00000005882	Uqcc1	2310079L17Rik|2410003P15Rik|3110038N19Rik|Bfzb|Bfzp|Cbp3|Uqcc	ubiquinol-cytochrome c reductase complex assembly factor 1	protein-coding
7424	chr6	72995432	72995932	+	0	NA	Intergenic	L2|LINE|L2	-36934	NM_001190327	19240	Mm.3532	NM_025284	ENSMUSG00000079523	Tmsb10	Ptmb10|Tb10	thymosin, beta 10	protein-coding
7620	chr15	31336351	31336983	+	0	NA	intron (NM_027496, intron 1 of 3)	intron (NM_027496, intron 1 of 3)	31092	NM_027496	67434	Mm.102470	NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding
7119	chr6	52110946	52111446	+	0	NA	intron (NR_110440, intron 2 of 2)	B3A|SINE|B2	8247	NR_110440	102635415	Mm.333063	NR_110440		Halr1	Gm15055|Haunt|Linchoxa1|OTTMUSG00000018881|linc-Hoxa1	Hoxa adjacent long noncoding RNA 1	ncRNA
8876	chr18	5615593	5616093	+	0	NA	intron (NM_011546, intron 1 of 7)	intron (NM_011546, intron 1 of 7)	-23406	NR_033552	791318	Mm.84339	NR_033552	ENSMUSG00000063087	Gm10125	ENSMUSG00000063087|Zeb1os	predicted gene 10125	ncRNA
4903	chr10	96240183	96240849	+	0	NA	intron (NR_110448, intron 1 of 2)	AT_rich|Low_complexity|Low_complexity	14309	NR_110448	74881	Mm.410819	NR_110448		4930459C07Rik	-	RIKEN cDNA 4930459C07 gene	ncRNA
7304	chr1	138955550	138956050	+	0	NA	Intergenic	Intergenic	-7909	NM_001166501	329260	Mm.337604	NM_181347	ENSMUSG00000056268	Dennd1b	4632404N19Rik|4930467M19Rik|6820401H01Rik|F730008N07Rik	DENN/MADD domain containing 1B	protein-coding
8901	chrX	77577944	77578444	+	0	NA	intron (NM_020601, intron 1 of 15)	intron (NM_020601, intron 1 of 15)	66967	NM_020601	21372	Mm.258476	NM_020601	ENSMUSG00000025246	Tbl1x	5330429M20|Tbl1	transducin (beta)-like 1 X-linked	protein-coding
6415	chr8	35250187	35250687	+	0	NA	Intergenic	RLTR17B_Mm|LTR|ERVK	-125304	NM_177741	244416	Mm.247126	NM_177741	ENSMUSG00000046794	Ppp1r3b	6430576E21|AW821953|GL|PTG	protein phosphatase 1, regulatory (inhibitor) subunit 3B	protein-coding
8819	chr13	35884597	35885097	+	0	NA	Intergenic	Intergenic	21500	NM_145938	208366	Mm.35545	NM_145938		Rpp40	D8Bwg1265e|Rnasep1	ribonuclease P 40 subunit	protein-coding
6320	chr1	46905311	46905811	+	0	NA	Intergenic	Intergenic	-52052	NM_172653	227059	Mm.233889	NM_172653	ENSMUSG00000025986	Slc39a10	2900042E17Rik|5430433I10|mKIAA1265	solute carrier family 39 (zinc transporter), member 10	protein-coding
8253	chr5	105284907	105285407	+	0	NA	intron (NM_194336, intron 3 of 10)	L1_Mur2|LINE|L1	8542	NM_194336	100702	Mm.491210	NM_194336	ENSMUSG00000079362	Gbp6	AI595338|Mpa2l	guanylate binding protein 6	protein-coding
6640	chr5	107524132	107524632	+	0	NA	Intergenic	Intergenic	-10329	NM_175241	76421	Mm.67037	NM_175241	ENSMUSG00000089798	1700028K03Rik	-	RIKEN cDNA 1700028K03 gene	protein-coding
7249	chr15	100105024	100105524	+	0	NA	intron (NR_037311, intron 2 of 3)	intron (NR_037311, intron 2 of 3)	-49122	NM_172819	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
7354	chr3	130879044	130879544	+	0	NA	Intergenic	Intergenic	-148896	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding
6682	chr8	33594574	33595074	+	0	NA	Intergenic	RLTR19C|LTR|ERVK	-4797	NM_017374	19053	Mm.29301	NM_017374	ENSMUSG00000009630	Ppp2cb	AI115466|D8Ertd766e|PP2Ac	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	protein-coding
3750	chr10	119010733	119011689	+	0	NA	Intergenic	Intergenic	-81694	NR_045348	73400	Mm.416864	NR_045348		1700064J06Rik	-	RIKEN cDNA 1700064J06 gene	ncRNA
4013	chr12	33118363	33119135	+	0	NA	intron (NR_015602, intron 5 of 5)	RMER13A1|LTR|ERVK	-25874	NM_001024478	68764	Mm.60083	NM_001024478	ENSMUSG00000035860	Cdhr3	1110049B09Rik|BB172694|Cdh28	cadherin-related family member 3	protein-coding
8018	chr3	87552032	87552532	+	0	NA	Intergenic	Intergenic	26704	NM_001083318	27049	Mm.219460	NM_012051	ENSMUSG00000003382	Etv3	AI414410|METS|Pe1	ets variant 3	protein-coding
5103	chr2	179938846	179940090	+	0	NA	intron (NM_001081092, intron 2 of 14)	intron (NM_001081092, intron 2 of 14)	37178	NM_001081092	228980	Mm.235542	NM_001081092	ENSMUSG00000039117	Taf4a	135kDa|AI450312|TAFII130|TAFII135|Taf2c1	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	protein-coding
4907	chr11	17192582	17193206	+	0	NA	intron (NM_024459, intron 2 of 5)	intron (NM_024459, intron 2 of 5)	18695	NM_025443	66249	Mm.27831	NM_025443	ENSMUSG00000020116	Pno1	1810003N24Rik|AA407421|AU015468|AU019495|AU042323|Emi3|Imi3	partner of NOB1 homolog (S. cerevisiae)	protein-coding
5861	chr7	122247094	122247594	+	0	NA	Intergenic	MTEa|LTR|ERVL-MaLR	27848	NM_027363	70261	Mm.96997	NM_027363	ENSMUSG00000030865	Chp2	2010110P09Rik|Cbhp2	calcineurin-like EF hand protein 2	protein-coding
5385	chr5	73193850	73194614	+	0	NA	intron (NM_028194, intron 3 of 62)	intron (NM_028194, intron 3 of 62)	62386	NM_028194	72313	Mm.260594	NM_028194	ENSMUSG00000070733	Fryl	2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826	furry homolog-like (Drosophila)	protein-coding
7090	chr4	89273227	89273727	+	0	NA	TTS (NM_009877)	TTS (NM_009877)	8715	NM_001040654	12578	Mm.4733	NM_009877	ENSMUSG00000044303	Cdkn2a	ARF-INK4a|Arf|INK4a-ARF|Ink4a/Arf|MTS1|Pctr1|p16|p16(INK4a)|p16INK4a|p19<ARF>|p19ARF	cyclin-dependent kinase inhibitor 2A	protein-coding
8833	chr14	53831133	53831633	+	0	NA	Intergenic	Intergenic	165443	NM_001205242	100568452	Mm.213248	NM_001205242		A430107P09Rik	Va10	RIKEN cDNA A430107P09 gene	protein-coding
8747	chr7	29005647	29006147	+	0	NA	intron (NM_009109, intron 101 of 105)	MTEa|LTR|ERVL-MaLR	23043	NM_008279	26411	Mm.148278	NM_008279	ENSMUSG00000037337	Map4k1	Hpk1|mHPK1	mitogen-activated protein kinase kinase kinase kinase 1	protein-coding
6944	chr11	65739491	65740125	+	0	NA	intron (NM_009157, intron 2 of 10)	intron (NM_009157, intron 2 of 10)	-4976	NR_030417	791070		NR_030417		Mir744	Mirn744|mir-744|mmu-mir-744	microRNA 744	ncRNA
8656	chr17	36249905	36250405	+	0	NA	Intergenic	Intergenic	7691	NM_026308	67676	Mm.27131	NM_026308		Rpp21	0610037N01Rik	ribonuclease P 21 subunit	protein-coding
8938	chr9	69858348	69858848	+	0	NA	Intergenic	Intergenic	97452	NR_040765	319970	Mm.186434	NR_040765	ENSMUSG00000097623	B230323A14Rik	-	RIKEN cDNA B230323A14 gene	ncRNA
5338	chr18	4313392	4313892	+	0	NA	Intergenic	Intergenic	39311	NM_007746	26410	Mm.3275	NM_007746	ENSMUSG00000024235	Map3k8	Cot|Cot/Tpl2|Est|Estf|Tpl-2|Tpl2|c-COT	mitogen-activated protein kinase kinase kinase 8	protein-coding
8200	chr2	70118082	70118582	+	0	NA	intron (NM_177376, intron 7 of 34)	intron (NM_177376, intron 7 of 34)	79206	NM_177376	329421	Mm.99648	NM_177376	ENSMUSG00000042064	Myo3b	A430065P19Rik	myosin IIIB	protein-coding
6884	chr5	139912860	139913360	+	0	NA	intron (NM_175522, intron 1 of 1)	intron (NM_175522, intron 1 of 1)	5167	NM_175522	243312	Mm.237102	NM_175522	ENSMUSG00000048988	Elfn1	A930017N06Rik|AI197272|Ppp1r28	leucine rich repeat and fibronectin type III, extracellular 1	protein-coding
7563	chr12	85569344	85569844	+	0	NA	Intergenic	Intergenic	-29511	NM_001205052	81703	Mm.103560	NM_030887	ENSMUSG00000034271	Jdp2	Jundm2|Jundp2|TIF	Jun dimerization protein 2	protein-coding
7345	chr3	9556529	9557029	+	0	NA	intron (NM_133218, intron 2 of 8)	B1_Mm|SINE|Alu	53306	NM_133218	170753	Mm.212908	NM_133218	ENSMUSG00000040209	Zfp704	C030026M03|C030034L19Rik|Gig1|Znf704	zinc finger protein 704	protein-coding
8910	chrX	166495056	166495556	+	0	NA	Intergenic	Intergenic	15172	NM_001007577	245695	Mm.336318	NM_001007577	ENSMUSG00000051224	Tceanc	A630018P17Rik|Gm390	transcription elongation factor A (SII) N-terminal and central domain containing	protein-coding
7133	chr7	36167233	36167733	+	0	NA	Intergenic	Intergenic	-364494	NM_177739	668501	Mm.286296	NM_177739	ENSMUSG00000044452	Zfp507	1810022O10Rik|A230056M16Rik|AL024009|AU021817|BB105092|Gm480|Znf507|mKIAA1084	zinc finger protein 507	protein-coding
7860	chr10	111179575	111180075	+	0	NA	intron (NM_175489, intron 1 of 23)	intron (NM_175489, intron 1 of 23)	15023	NM_001003717	237542	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding
6662	chr6	129747353	129747853	+	0	NA	Intergenic	Intergenic	-7119	NM_177155	320407	Mm.123265	NM_177155	ENSMUSG00000043932	Klri2	A530090P03Rik	killer cell lectin-like receptor family I member 2	protein-coding
4668	chr9	61764531	61765399	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	149545	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
7855	chr10	60687464	60687964	+	0	NA	intron (NM_023370, intron 1 of 68)	CpG-1084	8776	NR_045556	22295	Mm.440327	NM_023370	ENSMUSG00000012819	Cdh23	4930542A03Rik|USH1D|ahl|ahl1|bob|bus|mdfw|nmf112|nmf181|nmf252|sals|v	cadherin 23 (otocadherin)	protein-coding
8059	chr7	128049587	128050087	+	0	NA	Intergenic	Intergenic	-12803	NM_008401	16409	Mm.262106	NM_008401	ENSMUSG00000030786	Itgam	CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a	integrin alpha M	protein-coding
8317	chr7	142032027	142032527	+	0	NA	intron (NM_028308, intron 1 of 4)	intron (NM_028308, intron 1 of 4)	28757	NM_028308	101513	Mm.53259	NM_028308	ENSMUSG00000025147	Mob2	1110017M21Rik|2700078K21Rik|AI256456|Mmh	MOB kinase activator 2	protein-coding
5723	chr8	123892259	123892759	+	0	NA	intron (NM_009606, intron 5 of 6)	CpG-14648	2266	NM_009606	11459	Mm.214950	NM_009606	ENSMUSG00000031972	Acta1	AA959943|Acta-2|Acts|Actsk-1	actin, alpha 1, skeletal muscle	protein-coding
5620	chr14	18665644	18666144	+	0	NA	intron (NM_144839, intron 3 of 5)	intron (NM_144839, intron 3 of 5)	227733	NM_144839	218793	Mm.23551	NM_144839	ENSMUSG00000058317	Ube2e2	BC016265	ubiquitin-conjugating enzyme E2E 2	protein-coding
7516	chr10	89708365	89708865	+	0	NA	Intergenic	AT_rich|Low_complexity|Low_complexity	-22330	NM_198021	213326	Mm.27651	NM_198021	ENSMUSG00000069539	Scyl2	AU015688|AW536445|BC030932|CVAK104|D10Ertd802e	SCY1-like 2 (S. cerevisiae)	protein-coding
7479	chr8	114869153	114869653	+	0	NA	intron (NM_019573, intron 8 of 8)	RMER19A|LTR|ERVK	429751	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
7037	chr1	131447354	131447978	+	0	NA	intron (NM_001081011, intron 2 of 22)	intron (NM_001081011, intron 2 of 22)	79695	NM_001081011	14270	Mm.276259	NM_019520	ENSMUSG00000026425	Srgap2	9930124L22Rik|AI448945|FBP2|Fnbp2|srGAP3	SLIT-ROBO Rho GTPase activating protein 2	protein-coding
4843	chr2	166775921	166776715	+	0	NA	Intergenic	Intergenic	-17449	NM_023815	76367	Mm.330796	NM_023815	ENSMUSG00000042854	Trp53rk	2810408M09Rik|4933401B08Rik|5630401H01Rik|Nori-2|PRPK|Tp53rk|Trp53tk|mNori-2p	transformation related protein 53 regulating kinase	protein-coding
8569	chr7	106437339	106437839	+	0	NA	intron (NR_003967, intron 2 of 2)	L1Md_T|LINE|L1	3484	NR_003967	209380	Mm.461779	NM_001001318	ENSMUSG00000053541	Gm4759	EG209380	GTPase, very large interferon inducible 1 pseudogene	pseudo
5368	chr2	169609839	169610339	+	0	NA	Intergenic	Intergenic	-23557	NM_080455	228911	Mm.315789	NM_080455	ENSMUSG00000047907	Tshz2	2900073F20Rik|B830045G17|Mtsh2|Sdccag33l|Tsh2|Zfp218|mKIAA4248|teashirt2	teashirt zinc finger family member 2	protein-coding
7802	chr6	113072366	113072866	+	0	NA	intron (NR_027009, intron 1 of 1)	intron (NR_027009, intron 1 of 1)	4628	NR_027009	14910	Mm.280950	NR_027008	ENSMUSG00000086429	Gt(ROSA)26Sor	AV258896|Gtrgeo26|Gtrosa26|R26|ROSA26	gene trap ROSA 26, Philippe Soriano	ncRNA
7073	chr3	84563250	84563750	+	0	NA	intron (NM_001293801, intron 1 of 7)	intron (NM_001293801, intron 1 of 7)	19125	NM_001081093	99889	Mm.316536	NM_001081093	ENSMUSG00000074513	Arfip1	2310030I10Rik|Arfaptin|D3Ertd598e	ADP-ribosylation factor interacting protein 1	protein-coding
3584	chr6	12037756	12038550	+	0	NA	intron (NM_001168382, intron 16 of 17)	intron (NM_001168382, intron 16 of 17)	71427	NR_003631	625347	Mm.389084	NM_001039041	ENSMUSG00000057223	Gm6578	EG625347	mitochondrial ribosomal protein L32 pseudogene	pseudo
7438	chr7	67425543	67426043	+	0	NA	Intergenic	Intergenic	-52935	NM_001291196	17258	Mm.132788	NM_001033713	ENSMUSG00000030557	Mef2a	A430079H05Rik	myocyte enhancer factor 2A	protein-coding
3732	chr6	145187386	145188036	+	0	NA	intron (NM_177222, intron 9 of 15)	intron (NM_177222, intron 9 of 15)	23259	NM_177222	320662	Mm.207779	NM_177222	ENSMUSG00000043541	Casc1	A230084G12Rik|Las1	cancer susceptibility candidate 1	protein-coding
8899	chrX	50674972	50675472	+	0	NA	Intergenic	L1MC4|LINE|L1	-39964	NR_026976	103012	Mm.482523	NR_015505		Firre	5830467J12Rik|6720401G13Rik|AW048145	functional intergenic repeating RNA element	ncRNA
7877	chr11	121712656	121713156	+	0	NA	intron (NM_144797, intron 2 of 3)	intron (NM_144797, intron 2 of 3)	10479	NM_144797	210029	Mm.153566	NM_144797		Metrnl	9430048M07Rik|BC019776	meteorin, glial cell differentiation regulator-like	protein-coding
6018	chr5	100483258	100483758	+	0	NA	intron (NM_172714, intron 2 of 12)	intron (NM_172714, intron 2 of 12)	15065	NM_001115010	231506	Mm.212568	NM_172714	ENSMUSG00000035310	Lin54	4832414L08|AI461788|mKIAA2037	lin-54 homolog (C. elegans)	protein-coding
5098	chr2	92213647	92214273	+	0	NA	intron (NM_001109691, intron 2 of 18)	intron (NM_001109691, intron 2 of 18)	-7602	NM_001109690	192285	Mm.330408	NM_138755	ENSMUSG00000058318	Phf21a	80kDa|Bhc|Bhc80|D030065N23Rik|PFTF1	PHD finger protein 21A	protein-coding
6280	chr13	44809587	44810087	+	0	NA	intron (NM_001205043, intron 1 of 17)	intron (NM_001205043, intron 1 of 17)	78566	NM_001205043	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
7419	chr6	50552982	50553482	+	0	NA	Intergenic	Intergenic	13242	NM_007808	13063	Mm.35389	NM_007808	ENSMUSG00000063694	Cycs	-	cytochrome c, somatic	protein-coding
7454	chr7	139156264	139156764	+	0	NA	intron (NM_001162540, intron 1 of 11)	intron (NM_001162540, intron 1 of 11)	31980	NM_021302	57740	Mm.65336	NM_021302	ENSMUSG00000015981	Stk32c	PKE|Pkek|YANK3	serine/threonine kinase 32C	protein-coding
8244	chr4	149465462	149465962	+	0	NA	Intergenic	Intergenic	-10744	NM_022020	63954	Mm.46023	NM_022020	ENSMUSG00000028996	Rbp7	1110002J23Rik|CRBP-III	retinol binding protein 7, cellular	protein-coding
6942	chr11	60333913	60334413	+	0	NA	intron (NM_001039092, intron 1 of 13)	intron (NM_001039092, intron 1 of 13)	18742	NM_001039092	216810	Mm.218875	NM_153080	ENSMUSG00000000538	Tom1l2	2900016I08Rik|A730055F12Rik|AU042072|Srebf1	target of myb1-like 2 (chicken)	protein-coding
8803	chr11	109488362	109488862	+	0	NA	intron (NM_028710, intron 3 of 13)	intron (NM_028710, intron 3 of 13)	-15016	NM_001029842	104681	Mm.265874	NM_134038	ENSMUSG00000041920	Slc16a6	AW743111|ESTM12|MCT 6|MCT 7|MCT6	solute carrier family 16 (monocarboxylic acid transporters), member 6	protein-coding
7474	chr8	94361871	94362371	+	0	NA	intron (NM_019415, intron 24 of 24)	intron (NM_019415, intron 24 of 24)	-24379	NM_022331	64209	Mm.29151	NM_022331	ENSMUSG00000031770	Herpud1	Herp|Mifl|SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	protein-coding
6098	chr12	40568216	40568716	+	0	NA	intron (NM_172803, intron 1 of 52)	intron (NM_172803, intron 1 of 52)	122413	NM_172803	238130	Mm.341423	NM_172803	ENSMUSG00000035954	Dock4	5330406C03|6330411N01Rik|AF263288|C030023J22|mKIAA0716	dedicator of cytokinesis 4	protein-coding
6515	chr16	93576661	93577161	+	0	NA	Intergenic	Intergenic	26904	NM_145482	224440	Mm.10628	NM_145482	ENSMUSG00000022948	Setd4	AY037804|C21orf18|ORF21	SET domain containing 4	protein-coding
8909	chrX	162975958	162976458	+	0	NA	intron (NM_001168571, intron 14 of 16)	intron (NM_001168571, intron 14 of 16)	-11609	NM_009789	12309	Mm.6891	NM_009789	ENSMUSG00000040808	S100g	AU042539|CABP1|CaBP-D9K|Cabp9k|Calb3	S100 calcium binding protein G	protein-coding
4115	chr16	95198194	95198828	+	0	NA	Intergenic	Intergenic	-59047	NM_001039056	16516	Mm.272239	NM_019664	ENSMUSG00000062609	Kcnj15	4930414N08Rik|AI182284|AI267127|IRKK|Kir4.2	potassium inwardly-rectifying channel, subfamily J, member 15	protein-coding
4971	chr3	130937408	130937908	+	0	NA	Intergenic	Intergenic	-172639	NM_010703	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
6154	chr18	74760515	74761015	+	0	NA	intron (NM_201600, intron 36 of 38)	intron (NM_201600, intron 36 of 38)	17690	NR_028560	100217466		NR_028560		Scarna17	MBII-119	small Cajal body-specific RNA 17	ncRNA
8481	chrX	95709767	95710267	+	0	NA	Intergenic	Intergenic	-1661	NM_001034907	547176	Mm.302708	NM_001034907	ENSMUSG00000035045	Zc3h12b	A130028J20Rik|CXorf32|Gm373	zinc finger CCCH-type containing 12B	protein-coding
3767	chr15	95713668	95714566	+	0	NA	Intergenic	Intergenic	-59346	NM_207533	223843	Mm.152937	NM_207533		Dbx2	9430056A22Rik|9630005K15|AI846217|Gm1229	developing brain homeobox 2	protein-coding
6805	chr17	52278288	52278788	+	0	NA	Intergenic	Intergenic	-324171	NM_001031811	211468	Mm.399068	NM_001031811	ENSMUSG00000035580	Kcnh8	C130090D05Rik|ELK|ELK1|ELK3|Kv12.1	potassium voltage-gated channel, subfamily H (eag-related), member 8	protein-coding
4485	chr13	44374600	44375100	+	0	NA	Intergenic	Intergenic	-64877	NR_045489	69491	Mm.392410	NR_045489	ENSMUSG00000098144	1700029N11Rik	-	RIKEN cDNA 1700029N11 gene	ncRNA
4802	chr14	15099820	15100320	+	0	NA	Intergenic	MER74B|LTR|ERVL	279255	NM_001195229	674895	Mm.317563	NM_001034865	ENSMUSG00000042567	Nek10	Gm282	NIMA (never in mitosis gene a)- related kinase 10	protein-coding
6250	chr9	124126202	124126842	+	0	NA	3' UTR (NM_009917, exon 2 of 2)	3' UTR (NM_009917, exon 2 of 2)	4979	NM_009917	12774	Mm.14302	NM_009917	ENSMUSG00000079227	Ccr5	AM4-7|CD195|Cmkbr5	chemokine (C-C motif) receptor 5	protein-coding
5146	chr9	85105548	85106220	+	0	NA	Intergenic	Intergenic	221240	NM_001160378	212943	Mm.74610	NM_001160378	ENSMUSG00000032265	Fam46a	D930050G01Rik	family with sequence similarity 46, member A	protein-coding
7782	chr5	129455287	129455787	+	0	NA	Intergenic	Intergenic	-45694	NM_172276	231769	Mm.288714	NM_172276	ENSMUSG00000029439	Sfswap	1190005N23Rik|6330437E22Rik|AI197402|AW212079|SWAP|Sfrs8|Srsf8	splicing factor, suppressor of white-apricot homolog (Drosophila)	protein-coding
7314	chr1	183439014	183439514	+	0	NA	Intergenic	Intergenic	20761	NM_030175	78772	Mm.29003	NM_030175	ENSMUSG00000053461	Hhipl2	4930507C10Rik|AW208802	hedgehog interacting protein-like 2	protein-coding
8700	chr3	96960221	96960721	+	0	NA	Intergenic	Intergenic	-34420	NM_008123	14616	Mm.258183	NM_008123		Gja8	Aey5|Cnx50|Cx50|Lop10	gap junction protein, alpha 8	protein-coding
8826	chr13	78163120	78163620	+	0	NA	intron (NR_028109, intron 10 of 10)	CpG	-34647	NR_045195	320174	Mm.393122	NR_045195		A830082K12Rik	-	RIKEN cDNA A830082K12 gene	ncRNA
7380	chr4	151005992	151006492	+	0	NA	intron (NM_001289877, intron 20 of 20)	MTD|LTR|ERVL-MaLR	9145	NM_011910	24111	Mm.89984	NM_011910	ENSMUSG00000028963	Uts2	UII|Ucn2|prepro-UII	urotensin 2	protein-coding
6703	chr9	56305826	56306326	+	0	NA	intron (NM_172924, intron 3 of 6)	intron (NM_172924, intron 3 of 6)	111974	NM_172924	244895	Mm.490331	NM_172924	ENSMUSG00000074305	Peak1	1110049L02Rik|9530046P14|AA690169|BE132841|C230081A13Rik|SGK269|mKIAA2002	pseudopodium-enriched atypical kinase 1	protein-coding
5175	chr13	104139498	104139998	+	0	NA	exon (NM_144838, exon 11 of 11)	exon (NM_144838, exon 11 of 11)	29958	NM_144838	218544	Mm.44416	NM_144838	ENSMUSG00000042743	Sgtb	C630001O05Rik	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	protein-coding
5378	chr4	87881375	87881875	+	0	NA	intron (NM_027326, intron 2 of 10)	intron (NM_027326, intron 2 of 10)	-75302	NM_029931	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding
8499	chr2	3238262	3238762	+	0	NA	Intergenic	Intergenic	-45700	NM_001290368	18108	Mm.65021	NM_008708	ENSMUSG00000026643	Nmt2	A930001K02Rik|AI605445|AU044698|hNMT-2	N-myristoyltransferase 2	protein-coding
