PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr10-17802	chr10	7483031	7483531	+	9.78	15.02	Intergenic	B4|SINE|B4	-9804.0	NM_029975	77777.0	Mm.442442	NM_029975	ENSMUSG00000079685	Ulbp1	A430108B07Rik|MULT1	UL16 binding protein 1	protein-coding	6.19	22.39	7.12
chr16-31399	chr16	23279927	23280427	+	9.71	51.283	intron (NM_001252505, intron 2 of 7)	(T)n|Simple_repeat|Simple_repeat	-10293.0	NM_001252506	20440.0	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding	15.98	21.31	7.54
chr17-21311	chr17	72822516	72823152	+	9.71	14.5	Intergenic	RSINE1|SINE|B4	-13870.0	NM_027166	383295.0	Mm.277533	NM_027166	ENSMUSG00000039770	Ypel5	2310076K21Rik|CGI-127	yippee-like 5 (Drosophila)	protein-coding	6.36	19.16	3.56
chr4-35447	chr4	149680288	149680930	+	9.71	28.76	intron (NM_001029837, intron 1 of 23)	(CATATA)n|Simple_repeat|Simple_repeat	-4520.0	NM_001164051	18707.0	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding	12.54	7.75	4.61
chr7-89867	chr7	127153761	127154725	+	9.71	13.477	Intergenic	Intergenic	-16420.0	NM_001037810	20737.0	Mm.283714	NM_009259	ENSMUSG00000051457	Spn	A630014B01Rik|Cd43|Galgp|Ly-48|Ly48	sialophorin	protein-coding	7.22	23.68	9.01
chr3-14555	chr3	65625332	65625832	+	9.65	34.08	Intergenic	Intergenic	-33706.0	NR_106200	102465905.0	0	NR_106200	miRBase:MI0026052	Mir8120	mmu-mir-8120	microRNA mir-8120	ncRNA	7.73	15.72	5.24
chr1-22155	chr1	160275076	160275576	+	9.65	24.13	intron (NM_013862, intron 19 of 20)	intron (NM_013862, intron 19 of 20)	-62434.0	NM_009786	12301.0	Mm.10702	NM_009786	ENSMUSG00000014226	Cacybp	SIP	calcyclin binding protein	protein-coding	8.59	17.01	6.28
chr5-25633	chr5	53403669	53404169	+	9.65	19.15	Intergenic	Intergenic	136813.0	NM_001145433	66278.0	Mm.27900	NM_001145433	0	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding	3.95	20.02	4.61
chr6-21197	chr6	72113405	72113905	+	9.65	19.863	intron (NM_011375, intron 1 of 6)	MT2B1|LTR|ERVL	9285.0	NR_045163	71265.0	Mm.442035	NR_045163	0	4933431G14Rik	4930565C19Rik	RIKEN cDNA 4933431G14 gene	ncRNA	6.7	12.06	2.93
chr6-42359	chr6	99048353	99048981	+	9.65	17.363	intron (NM_053202, intron 5 of 18)	intron (NM_053202, intron 5 of 18)	-20369.0	NM_001197322	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	6.19	13.56	6.49
chr13-13795	chr13	51951295	51951795	+	9.65	18.397000000000002	Intergenic	RLTR51A_Mm|LTR|ERVK?	104870.0	NM_011817	23882.0	Mm.281298	NM_011817	ENSMUSG00000021453	Gadd45g	AI327420|C86281|CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	8.93	15.07	6.7
chr2-24786	chr2	172404363	172404863	+	9.58	7.723	intron (NM_001276422, intron 1 of 5)	intron (NM_001276422, intron 1 of 5)	10819.0	NM_001276422	320664.0	Mm.210195	NM_001033538	ENSMUSG00000074570	Cass4	F730031O20Rik	Cas scaffolding protein family member 4	protein-coding	7.56	13.56	5.24
chr13-11927	chr13	37792961	37793461	+	9.58	17.347	Intergenic	Intergenic	-32827.0	NM_026830	68750.0	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding	7.04	15.93	7.75
chr13-12773	chr13	44799634	44800134	+	9.58	31.886999999999997	intron (NM_001205043, intron 1 of 17)	B3A|SINE|B2	68613.0	NM_001205043	16468.0	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding	18.73	32.94	13.61
chr17-14395	chr17	47518003	47518503	+	9.51	12.902999999999999	intron (NM_001081636, intron 1 of 6)	MTEb|LTR|ERVL-MaLR	13202.0	NM_001081635	12445.0	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding	9.28	17.65	7.75
chr3-21700	chr3	21995573	21996073	+	9.51	15.14	Intergenic	Intergenic	-80829.0	NM_030732	81004.0	Mm.202966	NM_030732	ENSMUSG00000027630	Tbl1xr1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	transducin (beta)-like 1X-linked receptor 1	protein-coding	17.52	29.5	11.94
chr8-13979	chr8	61475318	61475818	+	9.51	19.223	Intergenic	RMER15|LTR|ERVL	-12166.0	NM_145595	234309.0	Mm.29059	NM_145595	ENSMUSG00000031641	Cbr4	A730083J17Rik|BC009118	carbonyl reductase 4	protein-coding	4.64	19.81	5.03
chr16-11859	chr16	31235698	31236198	+	9.51	41.347	intron (NR_035427, intron 1 of 2)	MLT1D|LTR|ERVL-MaLR	-34710.0	NM_030138	78618.0	Mm.274646	NM_030138	ENSMUSG00000049076	Acap2	4832442G16|9530039J15Rik|CNT-B2|Centb2|mKIAA0041	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	protein-coding	6.87	14.86	7.12
chr12-26096	chr12	16921434	16922216	+	9.51	21.166999999999998	intron (NM_009072, intron 1 of 32)	intron (NM_009072, intron 1 of 32)	26847.0	NM_009072	19878.0	Mm.276024	NM_009072	ENSMUSG00000020580	Rock2	B230113H15Rik|ROKalpha|Rho-kinase|Rock-II|Rock2m|mKIAA0619	Rho-associated coiled-coil containing protein kinase 2	protein-coding	7.39	13.56	5.65
chr10-19372	chr10	68151059	68151559	+	9.45	23.573	intron (NM_023598, intron 4 of 9)	intron (NM_023598, intron 4 of 9)	127417.0	NM_023598	71371.0	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding	8.25	12.7	6.28
chr8-17763	chr8	57589108	57589608	+	9.38	22.846999999999998	intron (NM_001167981, intron 1 of 11)	intron (NM_001167981, intron 1 of 11)	-62395.0	NR_040698	100502619.0	Mm.393851	NR_040698	0	AW046200	-	expressed sequence AW046200	ncRNA	11.51	21.96	9.84
chr5-19168	chr5	38554342	38554842	+	9.38	24.32	intron (NM_011715, intron 2 of 14)	intron (NM_011715, intron 2 of 14)	7003.0	NM_011715	22388.0	Mm.2654	NM_011715	ENSMUSG00000005103	Wdr1	Aip1|D5Wsu185e|rede	WD repeat domain 1	protein-coding	10.82	16.58	8.17
chr5-29922	chr5	103367498	103368256	+	9.38	19.37	Intergenic	Intergenic	-57315.0	NM_011204	19249.0	Mm.3414	NM_011204	ENSMUSG00000034573	Ptpn13	AI324989|PTP-BL|PTPL1|Ptpri|RIP	protein tyrosine phosphatase, non-receptor type 13	protein-coding	13.23	29.07	9.63
chr2-73271	chr2	146062151	146062923	+	9.38	9.13	Intergenic	Intergenic	127753.0	NM_175280	78774.0	Mm.136347	NM_175280	ENSMUSG00000037143	Cfap61	4930529M08Rik|BB178539|BC024760	cilia and flagella associated protein 61	protein-coding	14.43	7.97	7.12
chr15-16187	chr15	36492544	36493044	+	9.32	26.747	intron (NM_175134, intron 2 of 4)	L1MC|LINE|L1	3997.0	NM_175134	68839.0	Mm.396537	NM_175134	ENSMUSG00000048307	Ankrd46	1110054N06Rik|AI314978|AI987733	ankyrin repeat domain 46	protein-coding	5.15	14.64	6.49
chr7-20991	chr7	29025716	29026216	+	9.32	32.133	intron (NM_009109, intron 89 of 105)	intron (NM_009109, intron 89 of 105)	43112.0	NM_008279	26411.0	Mm.148278	NM_008279	ENSMUSG00000037337	Map4k1	Hpk1|mHPK1	mitogen-activated protein kinase kinase kinase kinase 1	protein-coding	8.93	11.41	5.65
chr4-18982	chr4	63874958	63875458	+	9.32	20.563000000000002	Intergenic	Intergenic	-13924.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	4.12	17.65	6.49
chr8-35343	chr8	20549993	20550747	+	9.25	15.137	Intergenic	CpG	-64557.0	NM_001270553	100861668.0	Mm.491087	NM_001270553	0	Gm21119	-	predicted gene, 21119	protein-coding	11.34	8.61	4.19
chr9-20243	chr9	15225123	15225623	+	9.25	16.233	Intergenic	LTRIS2|LTR|ERV1	-13672.0	NM_026955	69137.0	Mm.41396	NM_026955	ENSMUSG00000031937	Vstm5	2200002K05Rik	V-set and transmembrane domain containing 5	protein-coding	6.36	10.12	4.61
chr11-88427	chr11	79207920	79208618	+	9.25	25.127	Intergenic	(GGAGAA)n|Simple_repeat|Simple_repeat	34755.0	NM_001042565	78889.0	Mm.307022	NM_019653	ENSMUSG00000017677	Wsb1	1110056B13Rik|2700038M07Rik	WD repeat and SOCS box-containing 1	protein-coding	5.5	14.64	5.45
chr5-39475	chr5	53543798	53544298	+	9.25	27.537	Intergenic	Intergenic	-11731.0	NM_001080928	19664.0	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding	10.65	21.96	7.75
chr19-10427	chr19	46043524	46044024	+	9.25	40.203	intron (NM_001113408, intron 1 of 10)	intron (NM_001113408, intron 1 of 10)	1437.0	NM_001113408	16825.0	Mm.327442	NM_010697	ENSMUSG00000025223	Ldb1	CLIM2|NLI	LIM domain binding 1	protein-coding	10.82	12.06	5.86
chr7-48029	chr7	73504143	73504847	+	9.19	17.937	intron (NM_001081345, intron 7 of 38)	intron (NM_001081345, intron 7 of 38)	37251.0	NM_001081345	244059.0	Mm.34539	NM_001081345	ENSMUSG00000078671	Chd2	2810013C04Rik|2810040A01Rik|5630401D06Rik|AI851092|BC029703|CHD-2	chromodomain helicase DNA binding protein 2	protein-coding	11.51	9.26	5.45
chr11-45391	chr11	76845597	76846097	+	9.19	13.9	intron (NM_007754, intron 1 of 20)	MIRb|SINE|MIR	1161.0	NM_007754	12874.0	Mm.276736	NM_007754	ENSMUSG00000020841	Cpd	AA960140|AW322530|D830034L15Rik	carboxypeptidase D	protein-coding	12.2	18.95	9.42
chr5-19678	chr5	62745462	62745962	+	9.12	21.076999999999998	intron (NM_178407, intron 2 of 32)	intron (NM_178407, intron 2 of 32)	20465.0	NM_178407	212285.0	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding	10.48	5.6	4.61
chr13-13722	chr13	30754761	30755261	+	9.06	9.32	intron (NM_013674, intron 5 of 8)	intron (NM_013674, intron 5 of 8)	5753.0	NM_013674	16364.0	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	3.44	13.35	4.82
chr13-12605	chr13	45856081	45856581	+	9.06	20.546999999999997	intron (NM_001199305, intron 2 of 7)	intron (NM_001199305, intron 2 of 7)	108660.0	NM_009124	20238.0	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding	9.79	18.73	5.45
chr12-18753	chr12	73876400	73876900	+	9.06	35.28	Intergenic	Intergenic	-31217.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	8.42	13.56	4.82
chr3-24677	chr3	153957732	153958232	+	8.99	31.11	Intergenic	RLTR48A|LTR|ERV1	-13339.0	NM_007382	11364.0	Mm.10530	NM_007382	ENSMUSG00000062908	Acadm	AU018656|MCAD	acyl-Coenzyme A dehydrogenase, medium chain	protein-coding	6.7	16.36	5.24
chr18-10010	chr18	38600627	38601127	+	8.99	13.173	intron (NM_011898, intron 1 of 1)	CpG	391.0	NM_011898	24066.0	Mm.42038	NM_011898	ENSMUSG00000024427	Spry4	A030006O18Rik|sprouty4	sprouty homolog 4 (Drosophila)	protein-coding	8.25	15.29	3.56
chr4-20298	chr4	63924106	63924606	+	8.99	8.213	Intergenic	Intergenic	-63072.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	9.45	14.43	5.03
chr16-19315	chr16	91869253	91869753	+	8.92	25.743000000000002	intron (NM_010587, intron 27 of 38)	intron (NM_010587, intron 27 of 38)	62127.0	NM_138597	28080.0	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	9.96	19.38	6.07
chr4-20991	chr4	143143572	143144072	+	8.92	31.463	intron (NM_001256380, intron 6 of 7)	intron (NM_001256380, intron 6 of 7)	-7660.0	NR_105988	102465618.0	0	NR_105988	0	Mir7021	mmu-mir-7021	microRNA mir-7021	ncRNA	18.38	33.8	11.73
chr11-39751	chr11	68554145	68554895	+	8.92	46.623000000000005	Intergenic	G-rich|Low_complexity|Low_complexity	-1666.0	NM_146004	215723.0	Mm.131205	NM_146004	ENSMUSG00000048329	Mfsd6l	-	major facilitator superfamily domain containing 6-like	protein-coding	11.51	23.68	9.63
chr6-53622	chr6	50387807	50388437	+	8.92	15.33	intron (NM_001163645, intron 2 of 21)	MT2B1|LTR|ERVL	-5285.0	NM_027881	71720.0	Mm.44153	NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding	14.6	18.09	8.59
chr11-42493	chr11	86292050	86292674	+	8.92	19.307000000000002	intron (NM_001080931, intron 16 of 29)	intron (NM_001080931, intron 16 of 29)	-34794.0	NM_027421	70422.0	Mm.171304	NM_027421	ENSMUSG00000018068	Ints2	2810417D08Rik|AA408260|AI987735|mKIAA1287	integrator complex subunit 2	protein-coding	10.31	9.9	5.03
chr5-20349	chr5	113774184	113774684	+	8.92	13.59	intron (NM_025526, intron 2 of 4)	intron (NM_025526, intron 2 of 4)	1622.0	NM_025526	66383.0	Mm.29497	NM_025526	ENSMUSG00000025825	Iscu	2310020H20Rik|AA407971|Nifu|Nifun	IscU iron-sulfur cluster scaffold homolog (E. coli)	protein-coding	4.64	18.09	5.65
chr11-52962	chr11	17182748	17183382	+	8.92	16.073	intron (NM_024459, intron 2 of 5)	B1_Mur1|SINE|Alu	23767.0	NM_024459	19058.0	Mm.41840	NM_024459	ENSMUSG00000033953	Ppp3r1	CaNB1|Cnb1|MCIP1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	protein-coding	8.93	17.65	8.59
chr14-15813	chr14	18224650	18225150	+	8.92	17.237000000000002	intron (NM_011584, intron 1 of 7)	intron (NM_011584, intron 1 of 7)	14206.0	NM_011584	353187.0	Mm.26587	NM_011584	ENSMUSG00000021775	Nr1d2	RVR|Rev-erb	nuclear receptor subfamily 1, group D, member 2	protein-coding	3.78	10.12	3.98
chr13-15417	chr13	30679114	30679614	+	8.92	10.11	intron (NM_001037955, intron 3 of 6)	intron (NM_001037955, intron 3 of 6)	19305.0	NM_134068	105352.0	Mm.289646	NM_134068	ENSMUSG00000069255	Dusp22	JKAP|JSP1|LMW-DSP2|MKPX	dual specificity phosphatase 22	protein-coding	6.53	12.06	4.4
chr16-17970	chr16	52293493	52293993	+	8.86	13.547	intron (NM_009655, intron 6 of 15)	intron (NM_009655, intron 6 of 15)	159254.0	NM_009655	11658.0	Mm.288282	NM_009655	ENSMUSG00000022636	Alcam	AI853494|BEN|CD166|DM-GRASP|MuSC|SC1	activated leukocyte cell adhesion molecule	protein-coding	6.53	16.58	5.24
chr1-27576	chr1	161039528	161040028	+	8.86	14.537	TTS (NM_172644)	TTS (NM_172644)	1686.0	NR_028543	100217446.0	0	NR_028543	ENSMUSG00000064968	Snord47	MBII-96	small nucleolar RNA, C/D box 47	snoRNA	8.76	12.27	5.86
chr15-18726	chr15	5464011	5464511	+	8.86	14.7	Intergenic	Intergenic	-32057.0	NR_045274	71432.0	Mm.291087	NR_045274	0	5430437J10Rik	-	RIKEN cDNA 5430437J10 gene	ncRNA	8.07	12.7	5.65
chr17-23965	chr17	31994921	31995553	+	8.79	10.49	intron (NM_028902, intron 6 of 7)	intron (NM_028902, intron 6 of 7)	39271.0	NM_028902	74377.0	Mm.75856	NM_028902	ENSMUSG00000002076	Hsf2bp	4932437G14Rik	heat shock transcription factor 2 binding protein	protein-coding	5.33	10.33	4.82
chr2-40064	chr2	128325125	128325625	+	8.79	33.357	intron (NR_028590, intron 2 of 2)	intron (NR_028590, intron 2 of 2)	103976.0	NR_028589	100043424.0	Mm.297222	NR_028589	0	Gm14005	OTTMUSG00000015351	predicted gene 14005	ncRNA	22.33	29.28	12.15
chr1-42141	chr1	60565521	60566149	+	8.79	21.753	intron (NM_001045513, intron 1 of 13)	intron (NM_001045513, intron 1 of 13)	930.0	NM_001045513	77300.0	Mm.440325	NM_001045513	ENSMUSG00000026014	Raph1	9430025M21Rik|C730009O10Rik|Lpd	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein-coding	14.43	27.99	9.84
chr2-74479	chr2	77176601	77177101	+	8.79	24.733	Intergenic	Intergenic	-6216.0	NM_001025576	545428.0	Mm.26579	NM_001025576	ENSMUSG00000044033	Ccdc141	2610301F02Rik|CAMDI|ENSMUSG00000075261	coiled-coil domain containing 141	protein-coding	8.25	10.55	3.77
chr15-76038	chr15	62824097	62824597	+	8.79	17.687	Intergenic	Intergenic	-604896.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	13.4	20.24	8.38
chr11-129224	chr11	72608271	72608771	+	8.79	30.987	intron (NM_025985, intron 1 of 5)	intron (NM_025985, intron 1 of 5)	1260.0	NM_025985	67128.0	Mm.458052	NM_025985	ENSMUSG00000020794	Ube2g1	2700059C12Rik|AI256795|AU014992|AW552068|D130023C12Rik	ubiquitin-conjugating enzyme E2G 1	protein-coding	8.76	14.43	5.86
chr5-20887	chr5	107734290	107734790	+	8.79	22.16	Intergenic	Intergenic	-8735.0	NM_001267621	14581.0	Mm.2078	NM_010278	ENSMUSG00000029275	Gfi1	AW495828|Gfi-1|Pal-1|Pal1	growth factor independent 1	protein-coding	5.5	15.72	6.07
chr6-34515	chr6	134716521	134717021	+	8.79	20.12	3' UTR (NM_001048054, exon 7 of 7)	3' UTR (NM_001048054, exon 7 of 7)	75831.0	NM_026371	67774.0	Mm.41892	NM_026371	ENSMUSG00000042992	Loh12cr1	5830457J20Rik|AW124643	loss of heterozygosity, 12, chromosomal region 1 homolog (human)	protein-coding	4.98	11.84	5.86
chr7-25748	chr7	84148799	84149299	+	8.79	8.05	intron (NM_133722, intron 1 of 2)	intron (NM_133722, intron 1 of 2)	2844.0	NM_133722	70178.0	Mm.23914	NM_133722	ENSMUSG00000038459	Abhd17c	2210412D01Rik|AL023007|Fam108c|Fam108c1	abhydrolase domain containing 17C	protein-coding	7.22	13.35	6.28
chr17-33360	chr17	44456326	44456826	+	8.73	44.333	Intergenic	C-rich|Low_complexity|Low_complexity	268004.0	NM_172621	224796.0	Mm.37666	NM_172621	ENSMUSG00000023959	Clic5	5730531E12Rik|B330005L24|Gm322|jbg	chloride intracellular channel 5	protein-coding	7.39	13.99	5.24
chr4-62696	chr4	89123024	89123524	+	8.73	26.177	Intergenic	Intergenic	-14096.0	NM_024433	66902.0	Mm.28500	NM_024433	ENSMUSG00000062937	Mtap	1300019I21Rik|MSAP	methylthioadenosine phosphorylase	protein-coding	8.76	11.63	5.65
chr5-22388	chr5	53425515	53426015	+	8.66	15.383	Intergenic	Intergenic	-130014.0	NM_001080928	19664.0	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding	5.5	16.15	6.07
chr15-25692	chr15	6625267	6625897	+	8.66	16.4	intron (NM_011815, intron 2 of 17)	L2|LINE|L2	45735.0	NM_001278269	23880.0	Mm.170905	NM_011815	0	Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding	13.74	16.79	5.86
chr2-31657	chr2	65189865	65190365	+	8.66	21.81	intron (NM_177025, intron 1 of 13)	intron (NM_177025, intron 1 of 13)	48511.0	NM_177025	319876.0	Mm.34159	NM_027225	ENSMUSG00000034903	Cobll1	1810047P18Rik|Coblr1|D430044D16Rik	Cobl-like 1	protein-coding	7.9	16.15	6.07
chr15-20242	chr15	62726419	62726919	+	8.53	12.103	Intergenic	Intergenic	-507218.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	6.36	16.79	7.54
chr10-22292	chr10	80955604	80956104	+	8.53	27.263	intron (NM_001038655, intron 2 of 3)	intron (NM_001038655, intron 2 of 3)	25763.0	NM_008655	17873.0	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	7.39	13.13	6.49
chr15-18280	chr15	36280419	36280919	+	8.53	23.64	intron (NM_013923, intron 1 of 9)	intron (NM_013923, intron 1 of 9)	2478.0	NM_013923	30945.0	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding	11.0	16.15	6.28
chr2-40759	chr2	122160950	122161450	+	8.46	21.987	intron (NM_080510, intron 1 of 6)	intron (NM_080510, intron 1 of 6)	500.0	NM_080510	70928.0	Mm.379188	NM_080510	ENSMUSG00000033368	Trim69	4921519C19Rik|Rnf36|Trif|Trimless	tripartite motif-containing 69	protein-coding	3.95	11.41	3.14
chr1-54677	chr1	153741198	153742004	+	8.46	14.63	intron (NM_011267, intron 2 of 4)	intron (NM_011267, intron 2 of 4)	1248.0	NM_011267	19734.0	Mm.181709	NM_011267	ENSMUSG00000026475	Rgs16	Rgs14|Rgsr	regulator of G-protein signaling 16	protein-coding	8.07	14.21	6.49
chr10-31273	chr10	20060797	20061297	+	8.46	29.943	intron (NM_008580, intron 10 of 29)	intron (NM_008580, intron 10 of 29)	-87873.0	NM_008635	17761.0	Mm.20928	NM_008635	ENSMUSG00000019996	Map7	E-MAP-115|MAP-7|Mtap7|R75000|mshi|mste|ste	microtubule-associated protein 7	protein-coding	11.34	6.89	5.65
chr9-65197	chr9	114467642	114468508	+	8.4	9.887	intron (NR_108101, intron 14 of 14)	intron (NR_108101, intron 14 of 14)	28469.0	NM_009916	12773.0	Mm.1337	NM_009916	ENSMUSG00000047898	Ccr4	C-C CKR-4|CHEMR1|Cmkbr4|LESTR|Sdf1r	chemokine (C-C motif) receptor 4	protein-coding	6.19	14.43	6.28
chr6-30108	chr6	31169659	31170289	+	8.4	18.293	intron (NR_110470, intron 2 of 2)	intron (NR_110470, intron 2 of 2)	48500.0	NR_110471	232685.0	Mm.443019	NM_144555	0	Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA	6.7	23.04	6.49
chr13-20291	chr13	45971173	45971821	+	8.4	18.57	Intergenic	Intergenic	-6506.0	NM_001199304	20238.0	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding	7.56	10.98	5.24
chr7-27412	chr7	127744296	127744796	+	8.4	33.06	Intergenic	Intergenic	-2229.0	NM_172748	233902.0	Mm.259353	NM_172748	ENSMUSG00000030811	Fbxl19	6030430O11|BC059812|Fbl19	F-box and leucine-rich repeat protein 19	protein-coding	9.62	16.58	7.75
chr7-25966	chr7	30842124	30842624	+	8.4	23.663	Intergenic	Intergenic	13804.0	NM_001033316	233080.0	Mm.291167	NM_001033316	ENSMUSG00000019429	Ffar3	Gm478|Gpr41	free fatty acid receptor 3	protein-coding	7.9	21.75	7.54
chr9-24690	chr9	120082821	120083321	+	8.4	13.363	Intergenic	Intergenic	-9062.0	NM_007720	12776.0	Mm.442098	NM_007720	ENSMUSG00000042262	Ccr8	C-C|C-C CKR-8|CC-CKR-8|CCR-8|CKR-8|Cmkbr8|mCCR8	chemokine (C-C motif) receptor 8	protein-coding	11.0	22.82	9.21
chr12-19466	chr12	91585431	91585931	+	8.4	28.49	intron (NM_031391, intron 2 of 8)	MTA_Mm|LTR|ERVL-MaLR	3968.0	NM_031391	83602.0	Mm.275728	NM_031391	ENSMUSG00000020962	Gtf2a1	6330549H03Rik|AA536742|AA959775|AW060250|TfIIAa/b|Tfiia1	general transcription factor II A, 1	protein-coding	9.11	10.98	5.45
chr5-26561	chr5	67840875	67841375	+	8.33	26.23	intron (NM_001284345, intron 1 of 36)	RLTR11A|LTR|ERVK	6306.0	NM_001284345	11980.0	Mm.153230	NM_009727	ENSMUSG00000037685	Atp8a1	AI481521|AI853962|APLT|AW743152|AW822227|Atp3a2|B230107D19Rik|ClassI	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	protein-coding	7.56	12.92	6.28
chr6-25059	chr6	99130976	99131476	+	8.33	33.086999999999996	intron (NM_053202, intron 4 of 18)	intron (NM_053202, intron 4 of 18)	-102928.0	NM_001197322	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	11.0	16.58	6.7
chr8-19655	chr8	126904060	126904560	+	8.33	16.56	Intergenic	Intergenic	41611.0	NM_024214	67952.0	Mm.6932	NM_024214	ENSMUSG00000093904	Tomm20	1810060K07Rik|BB284719|Gm19268|MAS20|MOM19|TOM20|mKIAA0016	translocase of outer mitochondrial membrane 20 homolog (yeast)	protein-coding	7.9	15.93	6.28
chr7-40117	chr7	75664166	75664794	+	8.33	17.283	intron (NM_029332, intron 9 of 36)	intron (NM_029332, intron 9 of 36)	-183858.0	NM_029652	207952.0	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding	10.31	12.27	4.82
