PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr11-21815	chr11	99186814	99187314	+	13.0	14.392999999999999	Intergenic	Intergenic	-31987	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	19.14	11.88	16.88	12.13	5.84
chr3-13994	chr3	101501687	101502187	+	12.9	8.237	Intergenic	Intergenic	102770	NM_144900	11928	Mm.280103	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	6.79	10.75	8.21	8.66	10.01
chr16-10387	chr16	91933124	91933874	+	12.9	17.98	Intergenic	(C)n|Simple_repeat|Simple_repeat	-1869	NM_138597	28080	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	18.52	11.31	9.58	9.82	15.85
chr13-9727	chr13	30793645	30794145	+	12.8	6.16	Intergenic	Intergenic	44637	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	14.2	10.18	7.76	17.33	5.84
chr3-11887	chr3	37640837	37641337	+	12.8	10.83	intron (NM_011896, intron 2 of 2)	CpG-9115	1137	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	10.5	5.09	17.34	5.78	7.51
chr11-36393	chr11	48790155	48790655	+	12.8	19.59	Intergenic	Intergenic	-9955	NM_008143	14694	Mm.5305	NM_008143	ENSMUSG00000020372	Gnb2l1	AL033335|GB-like|Gnb2-rs1|Rack1|p205	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	protein-coding	17.91	9.61	13.23	16.17	12.51
chr11-22350	chr11	46362051	46362551	+	12.7	11.367	intron (NM_001281966, intron 4 of 16)	intron (NM_001281966, intron 4 of 16)	27214	NM_001281965	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	18.52	20.93	22.35	16.17	25.86
chr6-12680	chr6	67317716	67318216	+	12.7	5.412999999999999	intron (NM_008354, intron 8 of 15)	intron (NM_008354, intron 8 of 15)	50987	NM_001113566	66870	Mm.240490	NM_025814	ENSMUSG00000036371	Serbp1	1200009K13Rik|9330147J08Rik|AL022786|Pairbp1	serpine1 mRNA binding protein 1	protein-coding	13.58	11.31	9.12	10.98	9.18
chr18-6263	chr18	82588395	82588895	+	12.6	8.877	Intergenic	RLTR48C|LTR|ERV1	34137	NM_001025254	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	5.56	8.48	4.11	8.66	4.17
chr8-23712	chr8	120728003	120728673	+	12.5	17.743	Intergenic	Intergenic	-8038	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	14.82	15.84	16.88	16.75	6.67
chr17-25700	chr17	71622294	71623100	+	12.2	10.167	intron (NM_175639, intron 1 of 17)	B2_Mm2|SINE|B2	6482	NM_175639	72515	Mm.257762	NM_175639	ENSMUSG00000041057	Wdr43	2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007	WD repeat domain 43	protein-coding	14.2	10.75	13.23	15.02	5.84
chr6-15105	chr6	127165901	127166401	+	12.2	9.31	intron (NR_040275, intron 1 of 1)	URR1A|DNA|hAT-Charlie	-15103	NM_009829	12444	Mm.333406	NM_009829	ENSMUSG00000000184	Ccnd2	2600016F06Rik|AI256817|BF642806|C86853|Vin-1|Vin1|cD2	cyclin D2	protein-coding	11.11	7.35	10.04	10.4	12.51
chr16-16838	chr16	45388842	45389616	+	12.2	8.22	intron (NM_010818, intron 5 of 5)	intron (NM_010818, intron 5 of 5)	19824	NM_010818	17470	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding	22.23	15.84	21.44	14.44	7.51
chr8-15455	chr8	120823395	120824061	+	12.1	6.34	Intergenic	Intergenic	87352	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	3.09	5.09	3.19	6.93	3.34
chr5-16028	chr5	148395170	148395670	+	12.0	11.423	intron (NM_007513, intron 1 of 12)	MT2B|LTR|ERVL	4484	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	10.5	12.44	5.93	12.71	5.01
chr10-24582	chr10	80937451	80938371	+	11.9	7.06	Intergenic	Intergenic	7820	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	10.5	13.57	8.21	9.82	11.68
chr17-20674	chr17	29499056	29499556	+	11.4	11.732999999999999	Intergenic	B1_Mus1|SINE|Alu	8261	NM_008842	18712	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	10.5	6.79	8.67	6.93	5.84
chr13-12493	chr13	30787832	30788458	+	11.4	11.402999999999999	Intergenic	Intergenic	38887	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	11.73	14.14	9.58	16.17	8.34
chr4-16125	chr4	46456314	46456814	+	11.3	4.72	intron (NM_130889, intron 1 of 6)	intron (NM_130889, intron 1 of 6)	5447	NM_130889	67628	Mm.263913	NM_130889	ENSMUSG00000028333	Anp32b	2410015B15Rik|PAL31|PHAPI2a|Ssp29	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	protein-coding	11.11	12.44	9.12	12.13	9.18
chr16-12368	chr16	10759209	10759839	+	11.2	7.813	Intergenic	MLT1N2|LTR|ERVL-MaLR	26012	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	12.35	13.57	3.19	16.75	4.17
chr19-10087	chr19	53543527	53544165	+	11.2	18.753	Intergenic	Intergenic	14528	NM_001085390	240672	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	12.97	14.7	7.3	8.09	2.5
chr18-7345	chr18	82510234	82510734	+	11.2	14.14	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	35361	NM_001025245	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	14.82	11.31	9.12	12.13	7.51
chr12-21456	chr12	73850376	73851018	+	11.2	9.943	Intergenic	LTR33|LTR|ERVL	-57170	NM_010431	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	19.14	16.97	16.42	16.17	19.19
chr4-25621	chr4	63940243	63940905	+	11.2	10.603	Intergenic	Intergenic	-79290	NM_009403	21949	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	8.64	16.4	7.76	12.71	6.67
chr16-15954	chr16	51497587	51498215	+	10.9	11.2	Intergenic	Intergenic	-533648	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	10.5	7.92	12.77	7.51	10.85
chr2-22577	chr2	152804942	152805442	+	10.8	11.94	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	25525	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	9.88	12.44	10.04	12.13	7.51
chr8-13445	chr8	121902146	121902646	+	10.8	10.923	intron (NM_011404, intron 1 of 9)	intron (NM_011404, intron 1 of 9)	5290	NM_011404	20539	Mm.27943	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding	16.67	15.27	6.84	10.98	3.34
chr15-15781	chr15	67062177	67062931	+	10.7	10.82	Intergenic	Intergenic	-92913	NM_008681	17988	Mm.30837	NM_008681	ENSMUSG00000005125	Ndrg1	CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5	N-myc downstream regulated gene 1	protein-coding	12.35	11.88	11.86	13.29	7.51
chr3-15304	chr3	135594754	135595254	+	10.7	7.002999999999999	exon (NM_008689, exon 18 of 25)	exon (NM_008689, exon 18 of 25)	96543	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	11.73	10.18	8.21	15.02	19.19
chr14-11455	chr14	78300868	78301368	+	10.6	5.79	intron (NM_011613, intron 1 of 4)	intron (NM_011613, intron 1 of 4)	6925	NM_011613	21943	Mm.249221	NM_011613	ENSMUSG00000022015	Tnfsf11	Ly109l|ODF|OPG|OPGL|RANKL|Trance	tumor necrosis factor (ligand) superfamily, member 11	protein-coding	13.58	10.18	9.12	12.71	6.67
chr1-28016	chr1	51505734	51506530	+	10.6	8.123	Intergenic	Intergenic	-27733	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	11.73	6.22	10.04	12.13	11.68
chr10-37297	chr10	127148634	127149350	+	10.6	14.943	Intergenic	(AGGGGG)n|Simple_repeat|Simple_repeat	-16164	NM_001244617	14421	Mm.386762	NM_008080	ENSMUSG00000006731	B4galnt1	4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2	beta-1,4-N-acetyl-galactosaminyl transferase 1	protein-coding	8.03	11.31	13.69	12.13	9.18
chr10-32269	chr10	80961199	80962073	+	10.6	13.78	intron (NM_001038655, intron 2 of 3)	intron (NM_001038655, intron 2 of 3)	31545	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	16.67	3.39	8.67	7.51	5.84
chr6-16092	chr6	129267192	129267692	+	10.5	6.347	3' UTR (NM_001033122, exon 5 of 5)	3' UTR (NM_001033122, exon 5 of 5)	7927	NM_001033122	12515	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding	10.5	10.18	8.21	9.24	5.01
chr5-19297	chr5	148378365	148379003	+	10.3	16.453	intron (NM_007513, intron 1 of 12)	MTB|LTR|ERVL-MaLR	21220	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	7.41	13.57	7.76	14.44	4.17
chr11-27697	chr11	58028692	58029192	+	10.3	9.467	intron (NM_028451, intron 1 of 18)	B2_Mm2|SINE|B2	19878	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	9.26	5.66	8.67	9.82	4.17
chr2-25210	chr2	151548728	151549228	+	10.3	8.562999999999999	intron (NM_008019, intron 2 of 4)	L2a|LINE|L2	6479	NM_008019	14225	Mm.278458	NM_008019	ENSMUSG00000032966	Fkbp1a	12kDa|FKBP12|FKBP12-T1|FKBP12-T2|Fkbp|Fkbp1|mFKBP1|mFKBP12	FK506 binding protein 1a	protein-coding	13.58	7.92	8.67	11.55	5.01
chr11-27380	chr11	53799735	53800235	+	10.3	8.837	intron (NR_033332, intron 3 of 3)	LTR48B|LTR|ERV1	29512	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding	7.41	9.05	9.12	10.4	12.51
chr15-27238	chr15	61981163	61981825	+	10.2	6.8229999999999995	Intergenic	Intergenic	-3847	NM_001177354	17869	Mm.2444	NM_010849	ENSMUSG00000022346	Myc	AU016757|Myc2|Niard|Nird|bHLHe39	myelocytomatosis oncogene	protein-coding	20.38	22.06	14.14	17.91	8.34
chr3-23124	chr3	37617086	37617838	+	10.2	6.593	Intergenic	AT_rich|Low_complexity|Low_complexity	-22488	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	7.41	9.61	7.3	8.66	8.34
chr13-12857	chr13	30564916	30565416	+	10.1	14.743	Intergenic	MIR3|SINE|MIR	-19850	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding	11.73	11.31	5.47	17.33	1.67
chr13-16168	chr13	9027426	9028054	+	10.1	6.327000000000001	Intergenic	Intergenic	-31728	NM_027000	69237	Mm.41800	NM_027000	ENSMUSG00000021149	Gtpbp4	2610028C09Rik|Crfg|Gtpbp3|NGB|Nog1	GTP binding protein 4	protein-coding	16.67	10.18	9.58	14.44	10.85
chr18-7960	chr18	38431701	38432201	+	10.1	9.66	intron (NM_022996, intron 1 of 7)	RMER10A|LTR|ERVL	12976	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	11.73	9.61	8.21	12.71	10.85
chr1-21705	chr1	135813568	135814068	+	10.1	3.653	Intergenic	Intergenic	-4780	NM_133664	16763	Mm.36726	NM_133664	ENSMUSG00000041782	Lad1	-	ladinin	protein-coding	9.88	7.35	7.3	11.55	5.01
chr19-10991	chr19	10817289	10817789	+	9.99	7.143	intron (NM_009852, intron 1 of 12)	MLT1C|LTR|ERVL-MaLR	12519	NM_009852	12511	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	7.41	10.18	5.02	10.98	8.34
chr18-10745	chr18	82498274	82498900	+	9.99	6.71	intron (NM_001025245, intron 1 of 3)	intron (NM_001025245, intron 1 of 3)	23464	NM_001025245	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	14.2	16.4	9.12	9.24	5.84
chr2-40628	chr2	93437418	93438230	+	9.99	5.99	intron (NM_001271431, intron 1 of 8)	intron (NM_001271431, intron 1 of 8)	14848	NM_001271462	12521	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding	9.26	10.18	11.86	10.98	14.18
chr16-10959	chr16	52143279	52143779	+	9.99	11.307	intron (NM_001033238, intron 9 of 17)	intron (NM_001033238, intron 9 of 17)	111980	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	11.73	11.88	7.76	6.93	10.01
chr3-16263	chr3	135672658	135673158	+	9.99	11.06	intron (NM_008689, intron 1 of 24)	intron (NM_008689, intron 1 of 24)	18639	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	11.73	7.92	6.39	17.33	5.01
chr10-16516	chr10	75521286	75521786	+	9.99	5.59	intron (NM_026095, intron 2 of 3)	PB1D9|SINE|Alu	3494	NM_026095	67332	Mm.45151	NM_026095	ENSMUSG00000020180	Snrpd3	1700043E15Rik|2310009E13Rik|AW046420|SMD3	small nuclear ribonucleoprotein D3	protein-coding	5.56	4.52	6.84	4.62	6.67
chr18-8109	chr18	82514556	82515056	+	9.87	4.177	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	-39657	NM_001025255	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	9.26	11.88	9.12	19.06	5.84
chr18-8616	chr18	82571895	82572395	+	9.87	5.567	intron (NM_001025256, intron 2 of 5)	intron (NM_001025256, intron 2 of 5)	17637	NM_001025254	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	2.47	8.48	5.02	5.2	3.34
chr3-16744	chr3	37649871	37650371	+	9.75	7.977	Intergenic	ORR1D2|LTR|ERVL-MaLR	10171	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	9.88	9.05	5.47	13.86	2.5
chrX-8010	chrX	36802807	36803573	+	9.52	4.74	Intergenic	Arthur1B|DNA|hAT-Tip100	7538	NM_007451	11740	Mm.371544	NM_007451	ENSMUSG00000016319	Slc25a5	Ant2	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	protein-coding	7.41	10.75	14.6	8.66	6.67
chr18-14279	chr18	38495352	38496020	+	9.4	8.067	Intergenic	ID_B1|SINE|B4	76711	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	9.26	9.05	6.84	9.24	8.34
chr3-17338	chr3	130883684	130884184	+	9.28	5.337000000000001	Intergenic	Intergenic	-153536	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	8.03	10.75	6.39	6.35	5.84
chr16-11316	chr16	10761417	10761917	+	9.28	7.813	Intergenic	Intergenic	23869	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	4.32	6.79	3.65	11.55	5.01
chr3-17337	chr3	130812555	130813055	+	9.17	4.02	Intergenic	Intergenic	-82407	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	8.03	3.96	3.19	5.78	4.17
chr1-30255	chr1	61027052	61027552	+	9.17	7.893	Intergenic	Intergenic	49388	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	6.17	5.66	6.39	10.98	5.01
chr6-18634	chr6	127162304	127162804	+	9.17	7.84	intron (NR_040275, intron 1 of 1)	intron (NR_040275, intron 1 of 1)	-11506	NM_009829	12444	Mm.333406	NM_009829	ENSMUSG00000000184	Ccnd2	2600016F06Rik|AI256817|BF642806|C86853|Vin-1|Vin1|cD2	cyclin D2	protein-coding	5.56	7.92	5.02	4.62	2.5
chr4-29163	chr4	150951575	150952075	+	9.05	11.22	Intergenic	Intergenic	23826	NM_001077509	21942	Mm.244187	NM_011612	ENSMUSG00000028965	Tnfrsf9	4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63	tumor necrosis factor receptor superfamily, member 9	protein-coding	6.17	2.83	2.28	8.66	1.67
chr16-16592	chr16	52087737	52088379	+	9.05	5.143	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	56509	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	10.5	8.48	10.49	13.86	5.01
chr1-24494	chr1	55084533	55085033	+	9.05	8.373	exon (NM_010477, exon 3 of 12)	exon (NM_010477, exon 3 of 12)	3149	NM_010477	15510	Mm.1777	NM_010477	ENSMUSG00000025980	Hspd1	60kDa|Hsp60	heat shock protein 1 (chaperonin)	protein-coding	7.41	6.22	7.3	9.82	5.84
chr16-13078	chr16	52072897	52073521	+	8.93	6.483	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	41660	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	8.64	7.92	5.02	17.91	8.34
chr5-20860	chr5	148377429	148377929	+	8.93	12.732999999999999	intron (NM_007513, intron 1 of 12)	intron (NM_007513, intron 1 of 12)	22225	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	14.2	7.35	13.69	10.4	15.02
chr4-21733	chr4	48053769	48054269	+	8.81	7.582999999999999	intron (NM_015743, intron 1 of 5)	intron (NM_015743, intron 1 of 5)	2771	NM_015743	18124	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding	8.64	7.35	5.02	12.13	2.5
chr17-19439	chr17	29513093	29513593	+	8.81	10.413	Intergenic	Intergenic	22298	NM_008842	18712	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	11.73	7.92	10.04	10.4	1.67
chr8-25587	chr8	120890285	120891037	+	8.81	8.157	Intergenic	CT-rich|Low_complexity|Low_complexity	154285	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	8.03	9.05	6.39	5.2	5.01
chr16-13899	chr16	52107393	52108023	+	8.7	9.2	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	76159	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	7.41	10.18	8.21	17.91	4.17
chr3-18919	chr3	37675328	37675828	+	8.58	5.443	Intergenic	Intergenic	35628	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	11.73	9.61	5.02	17.91	1.67
chr16-12570	chr16	10702996	10703496	+	8.58	3.987	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	82290	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	6.79	9.05	4.11	4.04	1.67
chr5-29506	chr5	143907592	143908228	+	8.58	7.21	intron (NM_146165, intron 1 of 3)	RSINE1|SINE|B4	1929	NM_001172146	231872	Mm.200499	NM_146165	ENSMUSG00000029610	Aimp2	AA407136|AA407225|Aimp2(p38)|Jtv1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2	protein-coding	13.58	15.27	7.3	10.98	5.01
chr18-10057	chr18	77776561	77777061	+	8.58	9.1	intron (NM_007505, intron 2 of 11)	intron (NM_007505, intron 2 of 11)	3043	NM_007505	11946	Mm.276137	NM_007505	ENSMUSG00000025428	Atp5a1	AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	protein-coding	8.64	10.18	10.49	10.98	3.34
chr11-36660	chr11	99140035	99140535	+	8.46	8.247	Intergenic	Intergenic	14792	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	6.79	9.05	7.76	9.24	8.34
chr19-18175	chr19	8695225	8695861	+	8.46	23.686999999999998	Intergenic	Intergenic	18354	NM_008577	17254	Mm.4114	NM_008577	ENSMUSG00000010095	Slc3a2	4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	protein-coding	15.44	12.44	13.69	17.91	15.02
chr11-33381	chr11	99128184	99128684	+	8.34	13.16	Intergenic	Intergenic	26643	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	9.88	6.79	11.86	8.09	6.67
chr3-21249	chr3	135629047	135629547	+	8.34	7.153	intron (NM_008689, intron 6 of 24)	intron (NM_008689, intron 6 of 24)	62250	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	16.05	15.27	11.4	16.17	9.18
chr3-20023	chr3	135722547	135723047	+	8.23	6.537000000000001	Intergenic	Lx2|LINE|L1	-31250	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	11.73	7.92	5.47	13.29	2.5
chr11-34766	chr11	100892585	100893085	+	8.23	15.26	intron (NM_213660, intron 21 of 23)	(GGGAGA)n|Simple_repeat|Simple_repeat	32351	NM_001164062	20850	Mm.277403	NM_011488	ENSMUSG00000004043	Stat5a	AA959963|STAT5	signal transducer and activator of transcription 5A	protein-coding	4.32	5.66	7.3	8.66	8.34
chr4-22031	chr4	63927855	63928355	+	8.23	7.15	Intergenic	(T)n|Simple_repeat|Simple_repeat	-66821	NM_009403	21949	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	10.5	10.75	9.58	11.55	0.83
